locus,samp_sizetot,SynSitestot,theta_syntot,S_Syntot,S_Syn_freq.,D_Syntot,pi_Syntot,pi_JC_Syntot,Dxy_Syntot,Dxy_JC_Syntot,SynSites_4.foldtot,D_4.foldtot,D_JC_4.foldtot,TajD_Syntot,Fu.LiD_Syntot,X,RepSitestot,theta_reptot,S_Reptot,S_Rep_freq.,D_Reptot,pi_Reptot,pi_JC_Reptot,Dxy_Reptot,Dxy_JC_Reptot,TajD_Reptot,weighted_theta,XNCS,XTXS,YNCS,YTXS,OUTS,XAS,YAS,XNCW,XTXW,YNCW,YTXW,OUTW,XAW,YAW,MX,MY,D_mlhka
Locus_11788_,6,277.547619,0.007889749,5,2.189781049,4,0.006725573,0.00675591,0.019215922,0.019466377,193.5238095,0.015501969,0.015664418,-0.825819065,#N/A,#N/A,904.452381,0.001452668,3,1.313869031,5,0.00132677,0.001327945,0.006633848,0.006663361,-0.447361477,2.189781049,0.00405,0,0,0.00405,0.18582,0.00701,0.00526,0.0001,999,31.8809,0.6435,0.2675,0.0001,0.9952,YES,YES,51.57389856
Locus_11988_,6,364.5952381,0.001201212,1,0.437956175,11,0.001462809,0.001464238,0.031084699,0.031747243,223.952381,0.022326175,0.022665226,0.850567552,#N/A,#N/A,1339.404762,0.001961869,6,2.627736681,21,0.002090481,0.0020934,0.01692294,0.017116786,0.375219196,0.437956175,0.00001,0.00245,0.00244,0.00489,0.20208,0.01869,0.00111,0.0001,0.2849,0.2854,0.2861,0.3585,0.1832,3.243,YES,YES,73.67740572
Locus_12097_,6,302.4047619,0.004344735,3,1.313868553,5,0.004188647,0.004200387,0.01928982,0.019542222,193.7619048,0.025804866,0.026259246,-0.185444715,#N/A,#N/A,972.5952381,0.000900593,2,0.875912463,7,0.000959632,0.000960246,0.00788269,0.007924407,0.310634244,1.313868553,0.00501,0.00302,0.00501,0.00575,0.26355,0,0.00806,0.0001,0.0001,0.0001,0.3286,0.1812,6.2704,0.4701,YES,YES,79.698775
Locus_12129_,6,114.3333333,0.007661041,2,0.875912354,4,0.005830904,0.005853688,0.037900875,0.038892063,76.33333333,0.03930131,0.040368488,-1.131972245,#N/A,#N/A,392.6666667,0.002230677,2,0.875912502,0,0.001697793,0.001699717,0.000848896,0.000849377,-1.131972245,0.875912354,0,0.00916,0.00484,0.00906,0.24355,0.0166,0.00718,2.3625,0.1753,0.3303,0.3541,0.2489,0.1318,1.2802,YES,YES,27.84588333
Locus_1214_,6,73.78571429,0.005935515,1,0.437956214,1,0.004517586,0.004531247,0.015811552,0.015980602,51.19047619,0.019534884,0.019793797,-0.933020529,#N/A,#N/A,253.2142857,0.001729587,1,0.437956137,2,0.001316408,0.001317565,0.008556653,0.008605838,-0.933020529,0.437956214,0,0,0.00001,0.00001,0.70529,#N/A,#N/A,999,532.2776,999,999,0.237,#N/A,#N/A,NO,NO,52.04032643
Locus_12455_,6,234.9285714,0.00559263,3,1.313868576,4,0.005107936,0.005125409,0.021283065,0.021590881,170.4285714,0.017602682,0.017812542,-0.447361477,#N/A,#N/A,704.0714286,0,0,0,1,0,0,0.00142031,0.001421657,#N/A,1.313868576,0.00001,0.00874,0,0.00867,0.77826,0.02193,0,0.0001,0.142,31.4238,0.1436,0.2146,0.0001,999,YES,YES,182.83551
Locus_12528_,6,228.3809524,0.005752969,3,1.313868539,1,0.004378649,0.004391481,0.006567973,0.006596901,149.4761905,0,0,-1.233111763,#N/A,#N/A,791.6190476,0.001659723,3,1.313868341,1,0.001263234,0.001264299,0.001894851,0.001897248,-1.233111763,1.313868539,0.00001,0.01689,0.00842,0.01274,0.38539,#N/A,0.00424,0.0001,0.078,0.1565,0.1034,0.1113,#N/A,0.3108,NO,YES,88.01573525
Locus_12708_,6,128.4285714,0.017050575,5,2.189780989,6,0.014534668,0.014677352,0.062291435,0.065031042,75.28571429,0.013282732,0.013401761,-0.825819065,#N/A,#N/A,465.5714286,0.004703427,5,2.189781228,2,0.004868569,0.00488444,0.009307559,0.009365795,0.196505139,2.189780989,0.02525,0.00001,0.00827,0.0084,0.39911,#N/A,#N/A,0.0001,0.0001,0.2513,0.2464,0.3747,#N/A,#N/A,NO,NO,51.25712713
Locus_13014_,6,229.1666667,0,0,0,1,0,0,0.004363636,0.00437638,146,0,0,#N/A,#N/A,#N/A,763.8333333,0,0,0,0,0,0,0,0,#N/A,0,0.00001,0.00001,0.00879,0.0132,0.28607,#N/A,#N/A,0.0001,0.0001,0.1458,0.1941,0.0045,#N/A,#N/A,NO,NO,65.55770834
Locus_13097_,6,144.8333333,0.003023863,1,0.437956158,2,0.003682394,0.003691463,0.016110472,0.016286022,85.47619048,0.011699164,0.011791371,0.850567552,#N/A,#N/A,551.1666667,0.001589197,2,0.875912413,3,0.001572422,0.001574073,0.006350166,0.006377202,-0.050017378,0.437956158,0.00001,0.00001,0.00001,0.00001,0.6017,0.00979,#N/A,0.0001,0.0001,0.0001,0.0001,0.2247,0.0001,#N/A,YES,NO,87.14621665
Locus_14082_,6,84,0,0,0,0,0,0,0,0,49,0,0,#N/A,#N/A,#N/A,318,0.002754442,2,0.875912556,0,0.002096436,0.002099372,0.001048218,0.001048951,-1.131972245,0,0.00001,0.00001,0.00001,0.00001,0.11342,#N/A,#N/A,0.0001,0.0001,0.0001,0.0001,0.2642,#N/A,#N/A,NO,NO,9.52728
Locus_14472_,6,73.5952381,0,0,0,4,0,0,0.054351343,0.056421357,47.76190476,0.020937188,0.021234988,#N/A,#N/A,#N/A,247.4047619,0.001770201,1,0.437956157,4,0.00134732,0.001348531,0.016841497,0.017033467,-0.933020529,0,0.00001,0,0.00001,0.00001,0.22288,0.00778,0.01983,0.0001,999,0.0001,0.0001,0.3841,0.0001,0.2864,YES,YES,16.40290667
Locus_1528_,6,497.2142857,0.00088082,1,0.437956287,27,0.000670402,0.000670702,0.054637744,0.056730198,315.3809524,0.050732297,0.052529668,-0.933020529,#N/A,#N/A,1611.785714,0,0,0,9,0,0,0.005583869,0.005604759,#N/A,0.437956287,0.00833,0.00554,0.01665,0.00343,0.19522,0.01756,0.02575,0.1625,0.3392,0.0763,0.5628,0.1594,0.112,0.1286,YES,YES,97.06617285
Locus_15521_,6,88.4047619,0.009907978,2,0.875912436,1,0.007541072,0.00757924,0.015082144,0.015235855,60.66666667,0.016483516,0.016667353,-1.131972245,#N/A,#N/A,286.5952381,0.004584405,3,1.313868643,3,0.006048019,0.006072536,0.015120047,0.015274537,1.64797262,0.875912436,0.00001,0,0.00001,0,0.25825,0.00001,0.00939,999,0.0001,999,0.0001,0.3029,999,0.7695,YES,YES,22.83052976
Locus_15548_,6,238.6428571,0.00367039,2,0.875912356,2,0.003911005,0.003921238,0.011174299,0.011258379,163.5238095,0.006115317,0.006140385,0.310634244,#N/A,#N/A,817.3571429,0.00214328,4,1.751825217,6,0.00220222,0.002205459,0.008768097,0.008819753,0.149079133,0.875912356,0.00694,0.00001,0.00692,0,0.28255,0,0.00345,0.1489,0.0001,0.2989,999,0.2859,999,0.9166,YES,YES,67.42853927
Locus_15792_,6,123.1190476,0,0,0,5,0,0,0.0406111,0.041751984,76.23809524,0.039350406,0.0404203,#N/A,#N/A,#N/A,428.8809524,0.00102116,1,0.437956073,0,0.000777216,0.000777619,0.000388608,0.000388709,-0.933020529,0,0.0074,0,0.01528,0.00716,0.12122,0.0043,0.04379,0.0001,0.501,0.0001,0.3078,0.13,0.5161,0.0001,YES,YES,14.92449095
Locus_16316_,6,117.0238095,0.007484908,2,0.875912448,2,0.0074059,0.007442708,0.021363174,0.021673335,79.47619048,0.025164769,0.025596634,-0.050017378,#N/A,#N/A,350.9761905,0.001247823,1,0.437956163,1,0.000949732,0.000950334,0.003324062,0.00333145,-0.933020529,0.875912448,0.00001,0.00001,0.00001,0.00001,86.68201,#N/A,#N/A,0.0001,0.0001,0.0001,0.0001,0.0186,#N/A,#N/A,NO,NO,10143.85903
Locus_1638_,6,385.5952381,0.001135793,1,0.437956372,2,0.000864464,0.000864963,0.005619018,0.005640173,218.4285714,0.004578156,0.004592186,-0.933020529,#N/A,#N/A,1450.404762,0.000905863,3,1.313868009,5,0.001149105,0.001149986,0.004711329,0.004726189,1.386055858,0.437956372,0.00001,0.0029,0,0.00584,0.26759,0.0117,0,0.0001,0.2711,999,0.5405,0.5192,0.1106,999,YES,YES,103.1814298
Locus_1657_,6,199.8333333,0.006574822,3,1.313868596,1,0.00500417,0.005020939,0.007506255,0.00754407,133.6666667,0,0,-1.233111763,#N/A,#N/A,661.1666667,0,0,0,0,0,0,0,0,#N/A,1.313868596,0.00003,0,0.05495,0,0.00014,#N/A,#N/A,999,59.4605,0.1367,51.0168,999,#N/A,#N/A,NO,NO,0.027976667
Locus_1698_,6,280.9047619,0.009354549,6,2.62773736,3,0.008781149,0.00883296,0.016019664,0.016193227,163.8095238,0.012209302,0.012309772,-0.350840548,#N/A,#N/A,1015.095238,0.001725774,4,1.751824969,2,0.001510532,0.001512055,0.0027912,0.002796406,-0.676126573,2.62773736,0.00341,0.00652,0.00283,0.00282,0.23654,#N/A,#N/A,0.0001,0.0001,1.0391,0.6942,0.0544,#N/A,#N/A,NO,NO,66.44521238
Locus_17296_,6,198.6666667,0.002204478,1,0.437956296,5,0.001677852,0.001679732,0.026006711,0.026468313,141.2380952,0.014160486,0.014295872,-0.933020529,#N/A,#N/A,620.3333333,0.000706001,1,0.437955954,4,0.000967222,0.000967846,0.007254164,0.007289474,1.445096912,0.437956296,0.0049,0,0.00986,0,0.20033,0.00478,0.01001,0.0001,2.9871,0.1805,0.0001,0.4611,1.1153,0.0001,YES,YES,39.79889334
Locus_1734_,6,107.1190476,0.016353999,4,1.751824797,2,0.016181374,0.016358484,0.028006224,0.028542516,77.66666667,0.025751073,0.026203539,-0.057222293,#N/A,#N/A,351.8809524,0.002489229,2,0.875912271,0,0.002462954,0.002467007,0.001420935,0.001422283,-0.050017378,1.751824797,0.00001,0.01125,0.01133,0.01119,0.41375,#N/A,#N/A,0.0001,0.0001,0.3381,0.3405,0.3817,#N/A,#N/A,NO,NO,44.32050594
Locus_174_,6,214.8571429,0.00203836,1,0.437956206,0,0.00248227,0.002486386,0.001551418,0.001553025,135.7619048,0,0,0.850567552,#N/A,#N/A,730.1428571,0.00239929,4,1.751824456,0,0.002100046,0.002102991,0.001141329,0.001142198,-0.676126573,0.437956206,0.00001,0.00305,0.0029,0.01183,0.23147,#N/A,0.00885,0.0001,0.0001,0.6569,0.2422,0.2212,#N/A,0.2151,NO,YES,49.73298287
Locus_1773_,6,58.16666667,0,0,0,0,0,0,0,0,37.33333333,0,0,#N/A,#N/A,#N/A,217.8333333,0,0,0,0,0,0,0,0,#N/A,0,0.00001,0.00001,0.00549,0.00547,0.12754,#N/A,#N/A,0.0001,0.0001,0.5702,0.8615,0.3219,#N/A,#N/A,NO,NO,7.418576667
Locus_17755_,6,52.28571429,0,0,0,1,0,0,0.019125683,0.019373771,29.95238095,0,0,#N/A,#N/A,#N/A,187.7142857,0,0,0,4,0,0,0.02130898,0.021617554,#N/A,0,0,0,0,0.00553,0.2172,0.01455,0.04797,999,999,999,0.5545,0.3129,0.3408,0.3476,YES,YES,11.35645714
Locus_18454_,6,98.04761905,0.008933541,2,0.875912425,1,0.006799417,0.006830426,0.013598834,0.013723631,70.71428571,0.014141414,0.014276434,-1.131972245,#N/A,#N/A,312.952381,0,0,0,0,0,0,0,0,#N/A,0.875912425,0,0.00361,0.03689,2.54359,52.15628,#N/A,#N/A,999,999,0.0001,0.1248,0.0354,#N/A,#N/A,NO,NO,5113.799073
Locus_1873_,6,293.6666667,0.004474013,3,1.313868484,0,0.00431328,0.004325731,0.002837684,0.002843066,177.7619048,0,0,-0.185444715,#N/A,#N/A,1038.333333,0.000843575,2,0.875912041,4,0.000834671,0.000835136,0.004654896,0.004669401,-0.050017378,1.313868484,0.00001,0.00306,0.00307,0,0.14198,#N/A,0,0.0001,0.9286,0.0001,999,0.2741,#N/A,999,NO,YES,41.69479334
Locus_189_,6,359.1428571,0.002438897,2,0.875912437,5,0.002413153,0.002417044,0.016242376,0.016420834,228.2380952,0.017525558,0.017733568,-0.050017378,#N/A,#N/A,1290.857143,0,0,0,5,0,0,0.003873395,0.003883432,#N/A,0.875912437,0.00001,0.00001,0.00001,0.00001,71.19336,#N/A,0.03056,0.0001,0.0001,0.0001,0.0001,0.0109,#N/A,0.5305,NO,YES,25568.58672
Locus_19047_,6,292.0238095,0.001499728,1,0.437956284,0,0.001141459,0.001142329,0.00057073,0.000570947,197.6666667,0,0,-0.933020529,#N/A,#N/A,940.9761905,0.00186171,4,1.751824784,0,0.001700362,0.001702292,0.00177121,0.001773305,-0.469825147,0.437956284,0,0.00211,0,0.00211,0.15518,0.00244,0.0018,4.4269,0.0001,0.4517,0.0001,0.2573,0.0001,0.4862,YES,YES,45.31625476
Locus_2005_,6,411.8809524,0.005316539,5,2.189781147,8,0.004046477,0.004057432,0.021446326,0.02175893,234.1904762,0.021350142,0.021659921,-1.336981166,#N/A,#N/A,1481.119048,0.000887078,3,1.313868123,4,0.000675165,0.000675469,0.003038243,0.003044414,-1.233111763,2.189781147,0.00001,0.00001,0.00216,0.00439,0.16537,0,0.01763,0.0001,0.0001,0.3225,0.1588,0.0768,999,0.1189,YES,YES,68.1127531
Locus_2014_,6,257.5,0.003401602,2,0.875912515,2,0.004142395,0.004153877,0.010355987,0.01042815,163.6666667,0,0,1.031937488,#N/A,#N/A,885.5,0,0,0,0,0,0,0,0,#N/A,0.875912515,0,0.00599,0.006,0.00301,0.36953,#N/A,#N/A,999,0.2933,0.157,0.9102,0.144,#N/A,#N/A,NO,NO,95.153975
Locus_20150_,6,92.66666667,0.004726146,1,0.437956196,2,0.003597122,0.003605776,0.023381295,0.023753508,67.33333333,0.014851485,0.0150005,-0.933020529,#N/A,#N/A,300.3333333,0,0,0,1,0,0,0.003329634,0.003337047,#N/A,0.437956196,0.01131,0,0.01129,0,0.2582,0.01224,0.01041,0.0001,0.0001,0.0001,0.0001,0.0159,0.0001,0.0001,YES,YES,23.92653333
Locus_2063_,6,169.4761905,0.002584175,1,0.437956135,8,0.003146951,0.003153572,0.049171115,0.050857088,120.2857143,0.058194774,0.060576567,0.850567552,#N/A,#N/A,526.5238095,0.001663576,2,0.875912373,5,0.001772633,0.001774731,0.010762413,0.010840379,0.310634244,0.437956135,0,0.01734,0,0,0.18661,0.00001,0.01734,0.0001,0.1818,20.0213,999,0.2123,999,0.0001,YES,YES,31.62595191
Locus_2068_,6,260.6666667,0.005040417,3,1.313868698,7,0.003836317,0.003846162,0.028772379,0.029338812,166.8095238,0.029974308,0.030589734,-1.233111763,#N/A,#N/A,897.3333333,0.003416449,7,3.065693569,15,0.003491828,0.003499982,0.018759287,0.018997881,0.128407182,1.313868698,0.00306,0.00205,0.0041,0,0.16131,0.00913,0.00735,0.1769,0.8636,0.2732,999,0.4693,0.2462,0.5234,YES,YES,42.04814001
Locus_21705_,6,343.8095238,0.001273834,1,0.437956261,4,0.001551247,0.001552853,0.012603878,0.012710985,212.5714286,0.014112903,0.014247376,0.850567552,#N/A,#N/A,1159.190476,0.001133436,3,1.313868216,6,0.001207739,0.001208713,0.005894918,0.005918207,0.338388809,0.437956261,0.00267,0,0.00538,0.00805,0.17962,0.00803,0,0.0001,28.7674,0.1598,0.3204,0.2649,0.0001,999,YES,YES,61.75506666
Locus_21798_,6,296.6666667,0,0,0,0,0,0,0,0,204.3333333,0,0,#N/A,#N/A,#N/A,894.3333333,0,0,0,0,0,0,0,0,#N/A,0,0,0,0,0.00297,0.15575,#N/A,0.01193,0.0001,999,999,0.3803,0.1734,#N/A,0.285,NO,YES,46.20583334
Locus_22378_,6,190.5,0.011494914,5,2.189781117,1,0.008748906,0.008800336,0.009623797,0.009686075,126,0.007936508,0.007978799,-1.336981166,#N/A,#N/A,607.5,0.000720916,1,0.43795647,3,0.000548697,0.000548898,0.00521262,0.005230819,-0.933020529,2.189781117,0.00001,0,0.00001,0.02085,62.89087,0.00516,#N/A,0.0001,1.7115,0.0001,0.0001,0.0179,0.9692,#N/A,YES,NO,11980.71074
Locus_2289_,6,138.1428571,0,0,0,2,0,0,0.014477766,0.014619328,96.9047619,0.01031941,0.010391062,#N/A,#N/A,#N/A,431.8571429,0.003042369,3,1.313868784,1,0.002778697,0.002783857,0.003859301,0.003869265,-0.447361477,0,0.00312,0.00854,0,0.00283,0.22788,#N/A,0.00284,0.0001,0.1263,0.0001,0.7595,0.145,#N/A,0.7596,NO,YES,31.47999428
Locus_2290_,6,345.7380952,0.007600369,6,2.627737101,10,0.007520143,0.007558099,0.033262172,0.034022313,224.4285714,0.031190325,0.031857443,-0.06041665,#N/A,#N/A,1226.261905,0.001785737,5,2.189781255,6,0.001848436,0.001850718,0.005980234,0.006004204,0.196505139,2.627737101,0.01545,0.00515,0.0234,0,0.21356,0.02862,0.02283,0.0983,0.1474,0.1912,999,0.1416,0.1883,0.5603,YES,YES,73.83582761
Locus_2300_,6,114.047619,0.015360468,4,1.751824802,1,0.016951983,0.0171465,0.021920668,0.022247394,79.33333333,0.012605042,0.012712169,0.561681986,#N/A,#N/A,392.952381,0,0,0,3,0,0,0.007634513,0.007673636,#N/A,1.751824802,0,0.01204,0,0,0.17732,0.01202,0,0.0001,0.0001,999,999,0.1608,0.2217,999,YES,YES,20.2229238
Locus_2327_,6,356.9285714,0.007362081,6,2.627737054,17,0.007844707,0.007886021,0.052298045,0.054210896,253.7619048,0.039407018,0.04048005,0.375219196,#N/A,#N/A,1137.071429,0.000770323,2,0.875912274,12,0.000586301,0.000586531,0.010846577,0.010925774,-1.131972245,2.627737054,0.00001,0.0237,0.02353,0.02945,1.74927,0,0.05465,0.0001,0.0001,0.098,0.078,0.0371,999,0.1112,YES,YES,624.3644421
Locus_24285_,6,223.2857143,0.007845665,4,1.751824914,1,0.005971422,0.005995321,0.007464278,0.00750167,148.952381,0.006713555,0.006743783,-1.295030853,#N/A,#N/A,733.7142857,0.001193806,2,0.875912517,2,0.000908619,0.00090917,0.003180166,0.003186928,-1.131972245,1.751824914,0,0,0.00169,0,0.1786,0,0.00338,999,999,1.4381,999,0.3048,999,1.4516,YES,YES,39.87882857
Locus_24502_,6,71.76190476,0,0,0,1,0,0,0.01393497,0.014066052,38.14285714,0,0,#N/A,#N/A,#N/A,276.2380952,0.006341721,4,1.751824929,4,0.005550767,0.00557141,0.017496983,0.01770431,-0.676126573,0,0,0.00545,0,0.00542,0.12753,0.00001,0.03323,999,0.2623,999,1.6317,0.4124,999,0.3105,YES,YES,9.151795714
Locus_24862_,6,81.16666667,0.005395764,1,0.437956178,0,0.004106776,0.004118061,0.002053388,0.002056204,49.33333333,0,0,-0.933020529,#N/A,#N/A,287.8333333,0,0,0,0,0,0,0,0,#N/A,0.437956178,0.00852,0.0045,0.00855,0.00888,0.19657,#N/A,0.00435,0.1646,0.3116,0.1643,0.0001,0.2899,#N/A,0.9711,NO,YES,15.95493167
Locus_2561_,6,249.3333333,0.005269527,3,1.313868732,9,0.004812834,0.004828343,0.042780749,0.044049355,167.3333333,0.029880478,0.030492004,-0.447361477,#N/A,#N/A,872.6666667,0,0,0,1,0,0,0.001145913,0.001146789,#N/A,1.313868732,0.00806,0.00001,0.00827,0.0119,0.27765,0.02045,0.02113,0.1422,0.0001,0.1395,0.0001,0.0001,0.0001,0.0544,YES,YES,69.22739999
Locus_2595_,6,302,0.004350558,3,1.313868516,0,0.003311258,0.003318589,0.001655629,0.001657459,208.6666667,0,0,-1.233111763,#N/A,#N/A,982,0.000445984,1,0.437956288,0,0.000339443,0.00033952,0.000169722,0.000169741,-0.933020529,1.313868516,0,0.01295,0.00314,0.01936,0.59981,0.07896,0.0168,999,0.0001,0.6425,0.0517,0.0186,0.0001,0.2398,YES,YES,181.14262
Locus_2597_,6,121.1666667,0.007228988,2,0.87591238,0,0.007152682,0.007187008,0.004126547,0.004137942,75.66666667,0,0,-0.050017378,#N/A,#N/A,427.8333333,0,0,0,0,0,0,0,0,#N/A,0.87591238,0.00001,0.00001,0.00001,0.0061,0.27006,#N/A,#N/A,0.0001,0.0001,0.0001,0.5562,0.0909,#N/A,#N/A,NO,NO,32.72227001
Locus_2618_,6,280.6190476,0.010924752,7,3.065693502,5,0.01045308,0.010526609,0.0261327,0.026598838,183.8571429,0.027195027,0.027700326,-0.251271609,#N/A,#N/A,1015.380952,0.000431322,1,0.437956143,3,0.000328284,0.000328356,0.003118698,0.0031252,-0.933020529,3.065693502,0.0341,0,0.0343,0.01678,1.75785,0,#N/A,0.0001,23.6768,0.1421,0.0001,0.5128,999,#N/A,YES,NO,493.2861928
Locus_2637_,6,629.6904762,0.00069551,1,0.437956023,1,0.000846977,0.000847456,0.002646803,0.002651484,420.8571429,0.002376103,0.002379875,0.850567552,#N/A,#N/A,2058.309524,0.001702198,8,3.503650355,5,0.001813786,0.001815983,0.00404863,0.004059597,0.386471199,0.437956023,0.00001,0.00146,0.00001,0.00293,0.22564,0.00313,0.00127,0.0001,0.9086,0.0001,0.7579,0.2495,0.4162,2.4657,YES,YES,142.083359
Locus_27239_,6,137.0238095,0.003196205,1,0.437956185,2,0.003892268,0.003902403,0.017028671,0.017224965,77.57142857,0.012891344,0.013003422,0.850567552,#N/A,#N/A,483.9761905,0.001809825,2,0.875912209,3,0.001377478,0.001378745,0.006887391,0.00691921,-1.131972245,0.437956185,0,0,0,0,0.21981,0.02211,0,999,518.866,7.5777,999,0.425,0.0001,999,YES,YES,30.11920357
Locus_2904_,6,461.1666667,0.007597361,8,3.503649648,2,0.006649801,0.006679457,0.007950849,0.007993294,302.3333333,0.003307607,0.003314923,-0.735277831,#N/A,#N/A,1494.833333,0,0,0,0,0,0,0,0,#N/A,3.503649648,0.00001,0.00395,0.00001,0.01193,0.18834,0,0.00793,0.0001,0.0001,0.0001,0.0551,0.0915,1.8431,0.0829,YES,YES,86.85613001
Locus_309_,6,348.1904762,0.003773419,3,1.313868559,6,0.003446389,0.003454332,0.019146608,0.019395244,220.0952381,0.009086975,0.009142473,-0.447361477,#N/A,#N/A,1235.809524,0.002126329,6,2.627737629,10,0.001618372,0.001620121,0.008901048,0.008954289,-1.36732419,1.313868559,0.00001,0,0.00001,0.01242,0.15291,#N/A,0.02419,72.0507,999,73.4616,0.4213,0.3387,#N/A,0.333,NO,YES,53.24180572
