locus,samp_sizetot,SynSitestot,theta_syntot,S_Syntot,S_Syn_freq.,D_Syntot,pi_Syntot,pi_JC_Syntot,Dxy_Syntot,Dxy_JC_Syntot,SynSites_4.foldtot,D_4.foldtot,D_JC_4.foldtot,TajD_Syntot,Fu.LiD_Syntot,X,RepSitestot,theta_reptot,S_Reptot,S_Rep_freq.,D_Reptot,pi_Reptot,pi_JC_Reptot,Dxy_Reptot,Dxy_JC_Reptot,TajD_Reptot,weighted_theta
Locus_6944_,6,243.952381,0.010771517,6,2.627737219,4,0.009018153,0.00907281,0.022545384,0.022891194,166.5238095,0.012010295,0.012107498,-0.931688343,#N/A,#N/A,794.047619,0.001103098,2,0.87591234,4,0.00083958,0.00084005,0.005457271,0.005477223,-1.131972245,2.627737219
Locus_329_,6,324.7857143,0.005393787,4,1.751824964,4,0.004105271,0.004116548,0.014368448,0.014507866,247.6190476,0.012115385,0.012214306,-1.295030853,#N/A,#N/A,953.2142857,0.00229726,5,2.18978105,8,0.002168103,0.002171243,0.00996628,0.01003309,-0.314656963,1.751824964
Locus_309_,6,348.1904762,0.003773419,3,1.313868559,6,0.003446389,0.003454332,0.019146608,0.019395244,220.0952381,0.009086975,0.009142473,-0.447361477,#N/A,#N/A,1235.809524,0.002126329,6,2.627737629,10,0.001618372,0.001620121,0.008901048,0.008954289,-1.36732419,1.313868559
Locus_3927_,6,560.5714286,0.004687605,6,2.627737432,6,0.004281346,0.004293612,0.013081889,0.013197324,342.8095238,0.008751215,0.008802672,-0.496052497,#N/A,#N/A,1959.428571,0.000670537,3,1.313869356,5,0.000714494,0.000714835,0.002977058,0.002982983,0.338388809,2.627737432
Locus_4539_,6,722.2380952,0.004244713,7,3.065693432,8,0.003599921,0.003608588,0.013153557,0.013270268,472.5238095,0.006348886,0.006375911,-0.884069593,#N/A,#N/A,2484.761905,0.001938825,11,4.8175185,12,0.001824454,0.001826677,0.005902645,0.005925995,-0.356762591,3.065693432
Locus_3130_,6,414.3571429,0.014797348,14,6.13138684,2,0.01785899,0.018075056,0.018904787,0.019147128,281.3809524,0.007107802,0.007141697,1.270503068,#N/A,#N/A,1331.642857,0.000328884,1,0.437956029,2,0.000250317,0.000250359,0.001627063,0.00162883,-0.933020529,6.13138684
Locus_19047_,6,292.0238095,0.001499728,1,0.437956284,0,0.001141459,0.001142329,0.00057073,0.000570947,197.6666667,0,0,-0.933020529,#N/A,#N/A,940.9761905,0.00186171,4,1.751824784,0,0.001700362,0.001702292,0.00177121,0.001773305,-0.469825147,0.437956284
Locus_111_,6,241.4761905,0.005440986,3,1.313868572,3,0.006349832,0.006376865,0.017254979,0.017456567,159.3333333,0.012552301,0.012658528,0.862222334,#N/A,#N/A,847.5238095,0.001550244,3,1.313868701,7,0.001179908,0.001180837,0.008849309,0.00890193,-1.233111763,1.313868572
Locus_10286_,6,100.4047619,0.01308572,3,1.313868601,2,0.011951624,0.012047876,0.029879061,0.030490528,72,0.027777778,0.028305246,-0.447361477,#N/A,#N/A,316.5952381,0.001383332,1,0.437956324,3,0.001052869,0.001053609,0.010002256,0.010069552,-0.933020529,1.313868601
Locus_8863_,6,362.9285714,0.004826913,4,1.751824639,3,0.00422489,0.004236835,0.010562225,0.010637305,233.5714286,0.008562691,0.008611946,-0.676126573,#N/A,#N/A,1203.071429,0.001456127,4,1.751824791,1,0.001274516,0.0012756,0.001523877,0.001525428,-0.676126573,1.751824639
Locus_2005_,6,411.8809524,0.005316539,5,2.189781147,8,0.004046477,0.004057432,0.021446326,0.02175893,234.1904762,0.021350142,0.021659921,-1.336981166,#N/A,#N/A,1481.119048,0.000887078,3,1.313868123,4,0.000675165,0.000675469,0.003038243,0.003044414,-1.233111763,2.189781147
Locus_3428_,6,685.8095238,0.001277195,2,0.875912495,5,0.000972087,0.000972718,0.007776698,0.007817297,448.5714286,0.004458599,0.004471904,-1.131972245,#N/A,#N/A,2251.190476,0.000583633,3,1.313869051,7,0.000533051,0.000533241,0.003405605,0.003413361,-0.447361477,0.875912495
Locus_4106_,6,715.2380952,0.004898578,8,3.503649598,8,0.005499334,0.005519595,0.015146471,0.015301506,465.6666667,0.008589835,0.008639404,0.722995907,#N/A,#N/A,2287.761905,0.000765737,4,1.751823938,3,0.000815936,0.00081638,0.001894137,0.001896532,0.35538056,3.503649598
Locus_22378_,6,190.5,0.011494914,5,2.189781117,1,0.008748906,0.008800336,0.009623797,0.009686075,126,0.007936508,0.007978799,-1.336981166,#N/A,#N/A,607.5,0.000720916,1,0.43795647,3,0.000548697,0.000548898,0.00521262,0.005230819,-0.933020529,2.189781117
Locus_798_,6,843.1190476,0.009350058,18,7.883211996,0,0.007907147,0.007949125,0.005139646,0.005157337,553.5238095,0,0,-0.959761824,#N/A,#N/A,2762.880952,0.000317029,2,0.875913385,0,0.000313682,0.000313748,0.000180971,0.000180992,-0.050017378,7.883211996
Locus_5556_,6,119.3095238,0.007341513,2,0.87591242,1,0.005587707,0.005608626,0.011175414,0.01125951,87.28571429,0.011456628,0.011545033,-1.131972245,#N/A,#N/A,357.6904762,0.0024488,2,0.875912438,1,0.001863809,0.001866129,0.003727618,0.003736912,-1.131972245,0.87591242
Locus_2637_,6,629.6904762,0.00069551,1,0.437956023,1,0.000846977,0.000847456,0.002646803,0.002651484,420.8571429,0.002376103,0.002379875,0.850567552,#N/A,#N/A,2058.309524,0.001702198,8,3.503650355,5,0.001813786,0.001815983,0.00404863,0.004059597,0.386471199,0.437956023
Locus_10051_,6,426.452381,0.005134878,5,2.189780949,5,0.005315169,0.005334093,0.014851209,0.015000218,292.3333333,0.010262258,0.010333114,0.196505139,#N/A,#N/A,1373.547619,0.001275402,4,1.75182538,8,0.001116331,0.001117162,0.006431035,0.006458766,-0.676126573,2.189780949
Locus_7979_,6,307.8571429,0.007112978,5,2.189781085,6,0.005413766,0.0054334,0.022196442,0.022531525,193.5238095,0.025836614,0.026292126,-1.336981166,#N/A,#N/A,1081.142857,0.000405086,1,0.437955835,5,0.000308316,0.000308379,0.004778894,0.004794184,-0.933020529,2.189781085
Locus_3286_,6,987.9761905,0.002659717,6,2.627737069,19,0.002834076,0.002839445,0.021255573,0.021562587,602.2857143,0.013282732,0.013401761,0.375219196,#N/A,#N/A,3557.02381,0.001477492,12,5.255474223,22,0.001611834,0.001613569,0.007496904,0.007534625,0.553138182,2.627737069
Locus_805_,6,651.3095238,0.004034544,6,2.627736931,6,0.003991958,0.004002619,0.012538841,0.012644839,440.2380952,0.004542996,0.004556811,-0.06041665,#N/A,#N/A,2096.690476,0.001462158,7,3.065692753,9,0.001208253,0.001209228,0.004928402,0.004944666,-1.01062919,2.627736931
Locus_524_,6,6.142857143,0,0,0,1,0,0,0.162790698,0.183518916,3,0,0,#N/A,#N/A,#N/A,29.85714286,0,0,0,0,0,0,0,0,#N/A,0
Locus_7973_,6,133.8333333,0.0130896,4,1.7518248,1,0.011457036,0.011545447,0.01618929,0.016366575,80.33333333,0,0,-0.676126573,#N/A,#N/A,490.1666667,0.001786969,2,0.875912638,1,0.001768106,0.001770194,0.003060184,0.003066444,-0.050017378,1.7518248
Locus_6921_,6,154.452381,0.005671084,2,0.875912427,5,0.005611222,0.005632318,0.035609681,0.036482796,107.1904762,0.018658374,0.018894387,-0.050017378,#N/A,#N/A,514.547619,0,0,0,1,0,0,0.001943455,0.001945977,#N/A,0.875912427
Locus_3900_,6,85.5,0,0,0,3,0,0,0.035087719,0.035935017,62.33333333,0.016042781,0.016216848,#N/A,#N/A,#N/A,289.5,0,0,0,0,0,0,0,0,#N/A,0
Locus_12708_,6,128.4285714,0.017050575,5,2.189780989,6,0.014534668,0.014677352,0.062291435,0.065031042,75.28571429,0.013282732,0.013401761,-0.825819065,#N/A,#N/A,465.5714286,0.004703427,5,2.189781228,2,0.004868569,0.00488444,0.009307559,0.009365795,0.196505139,2.189780989
Locus_24605_,6,57.52380952,0,0,0,2,0,0,0.034768212,0.035599903,36.28571429,0,0,#N/A,#N/A,#N/A,194.4761905,0,0,0,2,0,0,0.010284035,0.010355194,#N/A,0
Locus_1214_,6,73.78571429,0.005935515,1,0.437956214,1,0.004517586,0.004531247,0.015811552,0.015980602,51.19047619,0.019534884,0.019793797,-0.933020529,#N/A,#N/A,253.2142857,0.001729587,1,0.437956137,2,0.001316408,0.001317565,0.008556653,0.008605838,-0.933020529,0.437956214
Locus_15521_,6,88.4047619,0.009907978,2,0.875912436,1,0.007541072,0.00757924,0.015082144,0.015235855,60.66666667,0.016483516,0.016667353,-1.131972245,#N/A,#N/A,286.5952381,0.004584405,3,1.313868643,3,0.006048019,0.006072536,0.015120047,0.015274537,1.64797262,0.875912436
Locus_3940_,6,128.7619048,0.003401287,1,0.437956193,1,0.002588757,0.002593235,0.009060651,0.009115826,102.1904762,0.009785648,0.009850048,-0.933020529,#N/A,#N/A,375.2380952,0.002334284,2,0.875912282,2,0.00177665,0.001778757,0.006218274,0.006244195,-1.131972245,0.437956193
Locus_27321_,6,70.4047619,0,0,0,0,0,0,0,0,37.23809524,0,0,#N/A,#N/A,#N/A,256.5952381,0.003413596,2,0.875912478,3,0.003377563,0.003385192,0.014939222,0.015090015,-0.050017378,0
Locus_5151_,6,159,0.005508883,2,0.875912397,1,0.004192872,0.004204636,0.008385744,0.008432977,118,0.008474576,0.008522819,-1.131972245,#N/A,#N/A,516,0.000848752,1,0.437956032,0,0.001033592,0.001034305,0.000645995,0.000646273,0.850567552,0.875912397
Locus_24285_,6,223.2857143,0.007845665,4,1.751824914,1,0.005971422,0.005995321,0.007464278,0.00750167,148.952381,0.006713555,0.006743783,-1.295030853,#N/A,#N/A,733.7142857,0.001193806,2,0.875912517,2,0.000908619,0.00090917,0.003180166,0.003186928,-1.131972245,1.751824914
Locus_717_,6,113.6666667,0,0,0,0,0,0,0,0,84.66666667,0,0,#N/A,#N/A,#N/A,423.3333333,0,0,0,0,0,0,0,0,#N/A,0
Locus_7892_,6,103.5,0.008462922,2,0.875912427,3,0.006441224,0.006469043,0.032206119,0.032918065,73.33333333,0.013636364,0.013761854,-1.131972245,#N/A,#N/A,352.5,0,0,0,0,0,0,0,0,#N/A,0.875912427
Locus_12528_,6,228.3809524,0.005752969,3,1.313868539,1,0.004378649,0.004391481,0.006567973,0.006596901,149.4761905,0,0,-1.233111763,#N/A,#N/A,791.6190476,0.001659723,3,1.313868341,1,0.001263234,0.001264299,0.001894851,0.001897248,-1.233111763,1.313868539
Locus_8282_,6,299.6190476,0.013155391,9,3.941605722,15,0.012015257,0.012112542,0.05785124,0.060204227,201.952381,0.049516623,0.051226929,-0.516192055,#N/A,#N/A,1002.380952,0.00218458,5,2.18978138,7,0.001928741,0.001931225,0.008147268,0.008191844,-0.655431697,3.941605722
Locus_4222_,6,79.71428571,0.005494074,1,0.437956185,4,0.004181601,0.004193302,0.052270012,0.054180761,53.47619048,0.037399822,0.038364528,-0.933020529,#N/A,#N/A,274.2857143,0,0,0,2,0,0,0.007291667,0.007327344,#N/A,0.437956185
Locus_14472_,6,73.5952381,0,0,0,4,0,0,0.054351343,0.056421357,47.76190476,0.020937188,0.021234988,#N/A,#N/A,#N/A,247.4047619,0.001770201,1,0.437956157,4,0.00134732,0.001348531,0.016841497,0.017033467,-0.933020529,0
Locus_4208_,6,374.1666667,0.005852421,5,2.189780858,6,0.006057906,0.006082504,0.019599109,0.019859743,257.4761905,0.019419271,0.019675102,0.196505139,#N/A,#N/A,1209.833333,0.001447989,4,1.751825358,3,0.001432704,0.001434074,0.003306241,0.00331355,-0.057222293,2.189780858
Locus_11392_,6,115.8809524,0.007558726,2,0.875912368,0,0.005753031,0.005775209,0.002876515,0.002882046,76.95238095,0,0,-1.131972245,#N/A,#N/A,406.1190476,0.003235181,3,1.313868627,2,0.002954799,0.002960635,0.006566219,0.006595132,-0.447361477,0.875912368
Locus_4955_,6,64.73809524,0.013530092,2,0.875912385,1,0.010297904,0.010369255,0.020595807,0.020883885,43.28571429,0,0,-1.131972245,#N/A,#N/A,205.2619048,0.002133646,1,0.437956242,2,0.001623942,0.001625702,0.013803503,0.013932108,-0.933020529,0.875912385
Locus_620_,6,232.4761905,0.003767751,2,0.875912399,3,0.002867677,0.002873174,0.014338386,0.014477218,155.2380952,0.006441718,0.006469541,-1.131972245,#N/A,#N/A,799.5238095,0,0,0,2,0,0,0.002501489,0.00250567,#N/A,0.875912399
Locus_17755_,6,52.28571429,0,0,0,1,0,0,0.019125683,0.019373771,29.95238095,0,0,#N/A,#N/A,#N/A,187.7142857,0,0,0,4,0,0,0.02130898,0.021617554,#N/A,0
Locus_6906_,6,125.1666667,0.003498984,1,0.437956164,1,0.004260985,0.004273135,0.010652463,0.010728837,88,0,0,0.850567552,#N/A,#N/A,396.8333333,0,0,0,1,0,0,0.00251995,0.002524193,#N/A,0.437956164
Locus_457_,6,135.4761905,0.006465434,2,0.875912368,1,0.004920914,0.004937128,0.009841828,0.009906973,91.28571429,0,0,-1.131972245,#N/A,#N/A,434.5238095,0,0,0,5,0,0,0.011506849,0.011596034,#N/A,0.875912368
Locus_11238_,6,67.26190476,0,0,0,2,0,0,0.029734513,0.030339998,39.57142857,0.025270758,0.025706311,#N/A,#N/A,#N/A,262.7380952,0,0,0,4,0,0,0.015224286,0.015380929,#N/A,0
Locus_11988_,6,364.5952381,0.001201212,1,0.437956175,11,0.001462809,0.001464238,0.031084699,0.031747243,223.952381,0.022326175,0.022665226,0.850567552,#N/A,#N/A,1339.404762,0.001961869,6,2.627736681,21,0.002090481,0.0020934,0.01692294,0.017116786,0.375219196,0.437956175
Locus_658_,6,621.5,0.001409352,2,0.875912268,3,0.001394476,0.001395774,0.005631537,0.005652786,444.0952381,0,0,-0.050017378,#N/A,#N/A,1934.5,0.00090557,4,1.751825165,2,0.000896011,0.000896547,0.001723098,0.001725081,-0.057222293,0.875912268
Locus_2561_,6,249.3333333,0.005269527,3,1.313868732,9,0.004812834,0.004828343,0.042780749,0.044049355,167.3333333,0.029880478,0.030492004,-0.447361477,#N/A,#N/A,872.6666667,0,0,0,1,0,0,0.001145913,0.001146789,#N/A,1.313868732
Locus_2904_,6,461.1666667,0.007597361,8,3.503649648,2,0.006649801,0.006679457,0.007950849,0.007993294,302.3333333,0.003307607,0.003314923,-0.735277831,#N/A,#N/A,1494.833333,0,0,0,0,0,0,0,0,#N/A,3.503649648
Locus_8332_,6,264.8571429,0.006614225,4,1.751824736,5,0.00503416,0.005051132,0.021395182,0.021706282,177.3809524,0.005637584,0.005658879,-1.295030853,#N/A,#N/A,884.1428571,0.001486037,3,1.313868999,6,0.001432649,0.001434019,0.007728766,0.007768864,-0.185444715,1.751824736
Locus_10016_,6,209.8333333,0.006261487,3,1.313868689,0,0.008260524,0.008306352,0.006354249,0.00638132,143.6666667,0,0,1.64797262,#N/A,#N/A,696.1666667,0,0,0,0,0,0,0,0,#N/A,1.313868689
Locus_13014_,6,229.1666667,0,0,0,1,0,0,0.004363636,0.00437638,146,0,0,#N/A,#N/A,#N/A,763.8333333,0,0,0,0,0,0,0,0,#N/A,0
Locus_7577_,6,188.9761905,0.004635041,2,0.875912391,4,0.003527781,0.003536104,0.022930578,0.023288432,157.2380952,0.019079346,0.019326223,-1.131972245,#N/A,#N/A,516.0238095,0.000848713,1,0.437956115,3,0.000645965,0.000646243,0.006136668,0.006161911,-0.933020529,0.875912391
Locus_568_,6,141.5,0,0,0,0,0,0,0,0,90.33333333,0,0,#N/A,#N/A,#N/A,506.5,0.000864672,1,0.437956368,0,0.000658111,0.0006584,0.000329056,0.000329128,-0.933020529,0
Locus_27239_,6,137.0238095,0.003196205,1,0.437956185,2,0.003892268,0.003902403,0.017028671,0.017224965,77.57142857,0.012891344,0.013003422,0.850567552,#N/A,#N/A,483.9761905,0.001809825,2,0.875912209,3,0.001377478,0.001378745,0.006887391,0.00691921,-1.131972245,0.437956185
Locus_9359_,6,70.97619048,0.018511399,3,1.313868581,5,0.016907078,0.017100558,0.07983898,0.084416396,41.80952381,0.071753986,0.075422349,-0.447361477,#N/A,#N/A,268.0238095,0.00326804,2,0.87591253,2,0.003233544,0.003240534,0.00932753,0.009386017,-0.050017378,1.313868581
Locus_174_,6,214.8571429,0.00203836,1,0.437956206,0,0.00248227,0.002486386,0.001551418,0.001553025,135.7619048,0,0,0.850567552,#N/A,#N/A,730.1428571,0.00239929,4,1.751824456,0,0.002100046,0.002102991,0.001141329,0.001142198,-0.676126573,0.437956206
Locus_7282_,6,258.6904762,0.003385948,2,0.875912501,3,0.002577082,0.00258152,0.012885412,0.012997385,152.7142857,0.013096352,0.013212043,-1.131972245,#N/A,#N/A,929.3095238,0.000471271,1,0.437956629,3,0.000573903,0.000574122,0.003945582,0.003955997,0.850567552,0.875912501
Locus_7515_,6,135.7619048,0.012903655,4,1.751824782,2,0.013749562,0.013877157,0.024552788,0.024963674,72.80952381,0.027468934,0.027984592,0.35538056,#N/A,#N/A,503.2380952,0.006962211,8,3.503649802,3,0.005299016,0.005317824,0.008610901,0.008660714,-1.408327249,1.751824782
Locus_5319_,6,57.66666667,0,0,0,0,0,0,0,0,39,0,0,#N/A,#N/A,#N/A,179.3333333,0,0,0,0,0,0,0,0,#N/A,0
Locus_1528_,6,497.2142857,0.00088082,1,0.437956287,27,0.000670402,0.000670702,0.054637744,0.056730198,315.3809524,0.050732297,0.052529668,-0.933020529,#N/A,#N/A,1611.785714,0,0,0,9,0,0,0.005583869,0.005604759,#N/A,0.437956287
Locus_5265_,6,102.5,0.01281823,3,1.313868575,0,0.012357724,0.012460665,0.008130081,0.008174468,64.33333333,0,0,-0.185444715,#N/A,#N/A,362.5,0,0,0,0,0,0,0,0,#N/A,1.313868575
Locus_2597_,6,121.1666667,0.007228988,2,0.87591238,0,0.007152682,0.007187008,0.004126547,0.004137942,75.66666667,0,0,-0.050017378,#N/A,#N/A,427.8333333,0,0,0,0,0,0,0,0,#N/A,0.87591238
Locus_7656_,6,320.6428571,0.002731738,2,0.875912277,6,0.00332665,0.00333405,0.021831143,0.022155179,184.047619,0,0,1.031937488,#N/A,#N/A,1086.357143,0.000806284,2,0.875912383,3,0.000981875,0.000982518,0.003375195,0.003382812,1.031937488,0.875912277
Locus_24502_,6,71.76190476,0,0,0,1,0,0,0.01393497,0.014066052,38.14285714,0,0,#N/A,#N/A,#N/A,276.2380952,0.006341721,4,1.751824929,4,0.005550767,0.00557141,0.017496983,0.01770431,-0.676126573,0
Locus_16316_,6,117.0238095,0.007484908,2,0.875912448,2,0.0074059,0.007442708,0.021363174,0.021673335,79.47619048,0.025164769,0.025596634,-0.050017378,#N/A,#N/A,350.9761905,0.001247823,1,0.437956163,1,0.000949732,0.000950334,0.003324062,0.00333145,-0.933020529,0.875912448
Locus_8279_,6,52.73809524,0,0,0,1,0,0,0.018961625,0.019205439,41.19047619,0,0,#N/A,#N/A,#N/A,172.2619048,0,0,0,1,0,0,0.005805114,0.005827697,#N/A,0
Locus_20150_,6,92.66666667,0.004726146,1,0.437956196,2,0.003597122,0.003605776,0.023381295,0.023753508,67.33333333,0.014851485,0.0150005,-0.933020529,#N/A,#N/A,300.3333333,0,0,0,1,0,0,0.003329634,0.003337047,#N/A,0.437956196
Locus_3892_,6,223.0714286,0.0019633,1,0.437956136,3,0.00149429,0.00149578,0.014195752,0.014331818,143.5238095,0.020902455,0.021199258,-0.933020529,#N/A,#N/A,778.9285714,0.001686764,3,1.313868673,4,0.001283815,0.001284915,0.005777166,0.005799532,-1.233111763,0.437956136
Locus_4326_,6,263.2380952,0.006654906,4,1.751824779,0,0.00658466,0.006613735,0.005065123,0.005082304,184.6666667,0,0,-0.057222293,#N/A,#N/A,855.7619048,0,0,0,6,0,0,0.007011296,0.007044274,#N/A,1.751824779
Locus_12455_,6,234.9285714,0.00559263,3,1.313868576,4,0.005107936,0.005125409,0.021283065,0.021590881,170.4285714,0.017602682,0.017812542,-0.447361477,#N/A,#N/A,704.0714286,0,0,0,1,0,0,0.00142031,0.001421657,#N/A,1.313868576
Locus_20524_,6,146.9047619,0.002981225,1,0.437956149,6,0.00363047,0.003639285,0.045380875,0.046811849,84.47619048,0.011837655,0.01193207,0.850567552,#N/A,#N/A,564.0952381,0,0,0,0,0,0,0,0,#N/A,0.437956149
Locus_6486_,6,164.2619048,0.005332414,2,0.875912481,0,0.005681983,0.005703616,0.004058559,0.00406958,104.7619048,0,0,0.310634244,#N/A,#N/A,555.7380952,0.003152249,4,1.751824855,0,0.003478857,0.00348695,0.00209931,0.002102254,0.561681986,0.875912481
Locus_1773_,6,58.16666667,0,0,0,0,0,0,0,0,37.33333333,0,0,#N/A,#N/A,#N/A,217.8333333,0,0,0,0,0,0,0,0,#N/A,0
Locus_24862_,6,81.16666667,0.005395764,1,0.437956178,0,0.004106776,0.004118061,0.002053388,0.002056204,49.33333333,0,0,-0.933020529,#N/A,#N/A,287.8333333,0,0,0,0,0,0,0,0,#N/A,0.437956178
Locus_8682_,6,750.3571429,0.005836637,10,4.379562263,0,0.006308107,0.006334785,0.00377598,0.003785517,504.2857143,0,0,0.485153639,#N/A,#N/A,2546.642857,0.001547765,9,3.941604682,0,0.001570695,0.001572342,0.000916239,0.000916799,0.088237958,4.379562263
Locus_6965_,6,308.3809524,0.005680717,4,1.751824919,2,0.005620754,0.005641921,0.011890056,0.011985313,189.1428571,0.010574018,0.010649266,-0.057222293,#N/A,#N/A,1113.619048,0.002359637,6,2.62773671,10,0.001975541,0.001978147,0.010027367,0.010095002,-0.931688343,1.751824919
Locus_7140_,6,650.1428571,0.005389046,8,3.503649763,0,0.005639786,0.005661098,0.003332601,0.003340027,399.1428571,0,0,0.274296296,#N/A,#N/A,2316.857143,0.001323212,7,3.065693174,0,0.001438731,0.001440112,0.001150985,0.001151869,0.508085973,3.503649763
Locus_25945_,6,255.3333333,0.0051457,3,1.313868733,2,0.003916449,0.003926711,0.009791123,0.009855595,172.3333333,0.011605416,0.011696143,-1.233111763,#N/A,#N/A,845.6666667,0,0,0,1,0,0,0.001182499,0.001183432,#N/A,1.313868733
Locus_1873_,6,293.6666667,0.004474013,3,1.313868484,0,0.00431328,0.004325731,0.002837684,0.002843066,177.7619048,0,0,-0.185444715,#N/A,#N/A,1038.333333,0.000843575,2,0.875912041,4,0.000834671,0.000835136,0.004654896,0.004669401,-0.050017378,1.313868484
Locus_2618_,6,280.6190476,0.010924752,7,3.065693502,5,0.01045308,0.010526609,0.0261327,0.026598838,183.8571429,0.027195027,0.027700326,-0.251271609,#N/A,#N/A,1015.380952,0.000431322,1,0.437956143,3,0.000328284,0.000328356,0.003118698,0.0031252,-0.933020529,3.065693502
Locus_6596_,6,110.7619048,0,0,0,3,0,0,0.027085125,0.027586297,82.85714286,0.012068966,0.012167127,#N/A,#N/A,#N/A,330.2380952,0,0,0,4,0,0,0.012112473,0.012211347,#N/A,0
Locus_539_,6,173.4047619,0.007576889,3,1.313868633,1,0.005766854,0.00578914,0.008650281,0.008700553,118.4761905,0,0,-1.233111763,#N/A,#N/A,531.5952381,0.000823853,1,0.437956332,0,0.00100327,0.001003941,0.000627043,0.000627306,0.850567552,1.313868633
Locus_3638_,6,637.6904762,0.007554634,11,4.817518153,12,0.008154426,0.00819908,0.025090543,0.025519834,420,0.019047619,0.019293668,0.48016335,#N/A,#N/A,2107.309524,0.003533062,17,7.445255201,19,0.003574858,0.003583405,0.011626199,0.011717254,0.073379516,4.817518153
Locus_11788_,6,277.547619,0.007889749,5,2.189781049,4,0.006725573,0.00675591,0.019215922,0.019466377,193.5238095,0.015501969,0.015664418,-0.825819065,#N/A,#N/A,904.452381,0.001452668,3,1.313869031,5,0.00132677,0.001327945,0.006633848,0.006663361,-0.447361477,2.189781049
