locus,XNCS,XTXS,YNCS,YTXS,OUTS,XAS,YAS,XNCW,XTXW,YNCW,YTXW,OUTW,XAW,YAW,MX,MY
Locus_10727_,0.00596,0.00487,0,0.0048,0.21479,0.00436,0.00897,0.0001,0.2319,999,0.2355,0.1151,0.085,0.2105,YES,YES
Locus_10734_,0,0,0,0.00001,0.1681,#N/A,#N/A,0.0001,0.0001,999,999,0.2397,#N/A,#N/A,NO,NO
Locus_10824_,0.00001,0.00001,0.00001,0.00001,0.17508,#N/A,#N/A,0.0001,0.0001,0.0001,0.0001,0.46,#N/A,#N/A,NO,NO
Locus_10831_,0,0.00139,0.0028,0.00279,0.24343,0.00127,0.00153,999,0.0001,1.1437,1.0025,0.2624,0.9169,1.5913,YES,YES
Locus_10861_,0,0.00175,0.00175,0.00791,0.7564,#N/A,#N/A,37.5862,0.5898,1.1808,0.3055,0.5094,#N/A,#N/A,NO,NO
Locus_111_,0.00001,0.00001,0.00001,0.00001,2.91977,0.00001,#N/A,999,0.0001,999,0.0001,0.2383,999,#N/A,YES,NO
Locus_11255_,0.02167,0.01112,0,0,0.1613,#N/A,#N/A,0.0001,0.0001,6.6842,3.8687,0.1693,#N/A,#N/A,NO,NO
Locus_11291_,0.00001,0.00001,0.00809,0.00401,0.37059,#N/A,#N/A,0.0001,0.0001,0.8216,2.3219,0.1276,#N/A,#N/A,NO,NO
Locus_11302_,0.00001,0,0.00001,0.02562,0.43273,#N/A,0.00836,0.0001,999,0.0001,0.4253,0.0928,#N/A,0.6477,NO,YES
Locus_1134_,0.00001,0.00001,0.00001,0.00908,1.85766,#N/A,#N/A,0.0001,0.0001,999,0.0001,0.3304,#N/A,#N/A,NO,NO
Locus_11381_,0,0,0.43979,0,2.23902,#N/A,#N/A,794.8453,916.9898,1.775,866.8638,0.3347,#N/A,#N/A,NO,NO
Locus_11392_,0,0,0,0,0.35164,#N/A,#N/A,3.8394,4.0942,3.374,3.7075,0.282,#N/A,#N/A,NO,NO
Locus_11395_,0.00599,0.01466,0.0029,0.01164,0.17233,#N/A,0.00848,0.1713,0.4818,0.785,0.3383,0.341,#N/A,0.6126,NO,YES
Locus_11500_,0.00001,0,0,0.00001,0.59,#N/A,#N/A,0.0001,5.289,332.0324,0.0001,0.0988,#N/A,#N/A,NO,NO
Locus_11574_,0.00001,0.00001,0.00552,0.00001,0.39338,#N/A,#N/A,0.0001,0.0001,0.2462,0.0001,0.1407,#N/A,#N/A,NO,NO
Locus_1159_,0,0.006,0.00001,0.01887,0.31722,#N/A,0.01869,999,0.6081,350.5035,0.482,0.1793,#N/A,0.0001,NO,YES
Locus_11608_,0.00001,0.01589,0,0.01596,0.22728,0.00789,#N/A,0.0001,0.0001,999,0.0001,0.3255,0.2998,#N/A,YES,NO
Locus_11662_,0.00723,0.01457,0.00001,0.0109,0.56057,0.00915,0.013,0.0001,0.0001,0.0001,0.4251,0.1368,0.2996,0.3592,YES,YES
Locus_11681_,0,0,0,0.00237,0.18849,#N/A,0.00714,0.0001,0.0001,999,1.1962,0.1644,#N/A,0.3971,NO,YES
Locus_11708_,0.00001,0.00472,0,0.00001,0.19026,0.00473,0.00001,0.0001,0.0001,999,0.0001,0.4159,0.259,999,YES,YES
Locus_11784_,0.00001,0.00001,0.00001,0.00001,0.30472,#N/A,#N/A,0.0001,0.0001,0.0001,0.0001,0.1949,#N/A,#N/A,NO,NO
Locus_11788_,0.00405,0,0,0.00405,0.18582,0.00701,0.00526,0.0001,999,31.8809,0.6435,0.2675,0.0001,0.9952,YES,YES
Locus_11841_,0.00978,0.01467,0,0.00001,0.19719,#N/A,#N/A,0.0001,0.0001,999,999,0.1704,#N/A,#N/A,NO,NO
Locus_11965_,0.00001,0.00001,0.00499,0.01507,0.35047,0,0.00996,0.0001,0.0001,0.3144,0.1043,0.3428,999,0.0001,YES,YES
Locus_11988_,0.00001,0.00245,0.00244,0.00489,0.20208,0.01869,0.00111,0.0001,0.2849,0.2854,0.2861,0.3585,0.1832,3.243,YES,YES
Locus_11998_,0.00001,0.00001,0.00252,0.00505,0.35016,#N/A,#N/A,0.0001,0.0001,0.4741,0.4732,0.6089,#N/A,#N/A,NO,NO
Locus_12091_,0.01352,0.00678,0.00001,0.00001,0.2062,#N/A,#N/A,0.0001,0.0001,0.0001,0.0001,0.2732,#N/A,#N/A,NO,NO
Locus_12097_,0.00501,0.00302,0.00501,0.00575,0.26355,0,0.00806,0.0001,0.0001,0.0001,0.3286,0.1812,6.2704,0.4701,YES,YES
Locus_12129_,0,0.00916,0.00484,0.00906,0.24355,0.0166,0.00718,2.3625,0.1753,0.3303,0.3541,0.2489,0.1318,1.2802,YES,YES
Locus_1214_,0,0,0.00001,0.00001,0.70529,#N/A,#N/A,999,532.2776,999,999,0.237,#N/A,#N/A,NO,NO
Locus_12204_,0.00001,0,0,0.00001,0.24197,0.00001,#N/A,0.0001,101.389,145.7189,0.0001,0.1175,0.0001,#N/A,YES,NO
Locus_1224_,0.00001,0.00001,0,0.00001,0.25745,#N/A,#N/A,0.0001,0.0001,999,999,0.4057,#N/A,#N/A,NO,NO
Locus_12245_,0,0.00838,0.00199,0.00645,0.1974,0.04012,0.0039,0.5535,0.0001,0.0001,0.0001,0.1833,0.1437,0.2513,YES,YES
Locus_12349_,0.00001,0.00001,0.01736,0.01155,65.92897,#N/A,#N/A,0.0001,0.0001,0.1907,0.2875,0.0222,#N/A,#N/A,NO,NO
Locus_12363_,0.00001,0,0.00521,0,0.22434,#N/A,0,0.0001,2.8487,0.0001,999,0.1159,#N/A,999,NO,YES
Locus_12402_,0,0.00647,0.00001,0.0131,0.23109,0.00546,0.01089,999,0.2682,0.0001,0.1973,0.3076,0.5712,0.9948,YES,YES
Locus_12455_,0.00001,0.00874,0,0.00867,0.77826,0.02193,0,0.0001,0.142,31.4238,0.1436,0.2146,0.0001,999,YES,YES
Locus_12461_,0,0,0,0,16.66337,#N/A,#N/A,523.0785,338.9523,287.4731,782.8937,0.1943,#N/A,#N/A,NO,NO
Locus_1252_,0.00001,0.00517,0.01025,0.01037,0.23008,#N/A,#N/A,0.0001,0.0001,0.2985,0.1473,0.0673,#N/A,#N/A,NO,NO
Locus_12528_,0.00001,0.01689,0.00842,0.01274,0.38539,#N/A,0.00424,0.0001,0.078,0.1565,0.1034,0.1113,#N/A,0.3108,NO,YES
Locus_12708_,0.02525,0.00001,0.00827,0.0084,0.39911,#N/A,#N/A,0.0001,0.0001,0.2513,0.2464,0.3747,#N/A,#N/A,NO,NO
Locus_12710_,0,0,0.01044,0.00543,0.23847,0.01654,0.01038,44.7301,999,0.2905,0.0001,0.0318,0.0001,0.1456,YES,YES
Locus_12831_,0,0.00759,0,0.00001,0.22517,0.00817,0.01504,37.8758,0.0001,21.0544,999,0.3593,0.0001,0.2,YES,YES
Locus_12904_,0.00001,0.00672,0.00001,0.00336,0.23525,0.01086,0.00599,0.0001,0.0001,0.0001,0.0001,0.1621,0.0001,0.0001,YES,YES
Locus_13014_,0.00001,0.00001,0.00879,0.0132,0.28607,#N/A,#N/A,0.0001,0.0001,0.1458,0.1941,0.0045,#N/A,#N/A,NO,NO
Locus_13034_,0.00001,0.00001,0.00001,0,2.20847,#N/A,#N/A,0.0001,0.0001,999,999,0.2677,#N/A,#N/A,NO,NO
Locus_13097_,0.00001,0.00001,0.00001,0.00001,0.6017,0.00979,#N/A,0.0001,0.0001,0.0001,0.0001,0.2247,0.0001,#N/A,YES,NO
Locus_13151_,0.00001,0.00001,0.02851,0.01418,0.19437,#N/A,#N/A,0.0001,0.0001,0.1628,0.3271,0.5728,#N/A,#N/A,NO,NO
Locus_13356_,0,0.00463,0.00941,0.00474,0.25774,0.00984,0.00418,0.4733,0.5363,0.2634,0.5223,0.2486,0.0001,0.2964,YES,YES
Locus_13401_,0.00509,0.00768,0.01167,0.02063,0.60667,0.00125,0.01149,0.4038,0.0001,0.1751,0.0001,0.3818,5.8286,1.1686,YES,YES
Locus_1345_,0,0,0,0.00331,0.25457,0,0.00996,999,999,999,0.882,0.1836,999,0.0956,YES,YES
Locus_13678_,0.00001,0.00001,0,0.02287,0.19344,#N/A,#N/A,0.0001,0.0001,999,0.2611,0.0932,#N/A,#N/A,NO,NO
Locus_13686_,0,0,0.00001,0.00001,0.35658,0.00648,0,7.5942,999,999,999,0.1916,0.0001,999,YES,YES
Locus_13815_,0,0,0.00733,0.01482,0.206,#N/A,#N/A,999,999,0.3487,0.3499,0.4868,#N/A,#N/A,NO,NO
Locus_1384_,0.00001,0.00001,0,0.00288,1.09957,0.00286,#N/A,0.0001,0.0001,999,0.3012,0.4216,0.3027,#N/A,YES,NO
Locus_1399_,0.00001,0.01017,0.00001,0,0.31585,#N/A,#N/A,0.0001,0.1627,0.0001,999,0.379,#N/A,#N/A,NO,NO
Locus_14000_,0.66672,0,0,0,55.30589,#N/A,#N/A,2.7145,95.998,34.3378,0.0001,0.0298,#N/A,#N/A,NO,NO
Locus_14082_,0.00001,0.00001,0.00001,0.00001,0.11342,#N/A,#N/A,0.0001,0.0001,0.0001,0.0001,0.2642,#N/A,#N/A,NO,NO
Locus_14240_,0.00768,0,0.00773,0.00768,0.2152,#N/A,0.00771,0.0001,999,0.1584,0.4788,0.2224,#N/A,0.0001,NO,YES
Locus_14291_,0.00758,0.01087,0.00768,0.01706,0.23885,0.00618,0,0.3089,0.3897,1.1617,0.2472,0.2686,0.3155,999,YES,YES
Locus_1432_,0,0,0.00379,0.00379,0.14086,#N/A,#N/A,29.3653,4.6486,0.1608,0.3218,0.2815,#N/A,#N/A,NO,NO
Locus_14472_,0.00001,0,0.00001,0.00001,0.22288,0.00778,0.01983,0.0001,999,0.0001,0.0001,0.3841,0.0001,0.2864,YES,YES
Locus_14941_,0,0.0084,0.00419,0,0.30372,0.00786,0.00902,999,0.3236,0.6314,999,0.1291,0.3442,0.1461,YES,YES
Locus_15008_,0.00001,0.00001,0.00675,0.01011,0.18978,#N/A,#N/A,0.0001,0.0001,0.1417,0.0945,0.3049,#N/A,#N/A,NO,NO
Locus_1528_,0.00833,0.00554,0.01665,0.00343,0.19522,0.01756,0.02575,0.1625,0.3392,0.0763,0.5628,0.1594,0.112,0.1286,YES,YES
Locus_15420_,0,0.00001,0.00001,0.00001,0.34639,#N/A,#N/A,32.1656,0.0001,999,0.0001,0.389,#N/A,#N/A,NO,NO
Locus_15521_,0.00001,0,0.00001,0,0.25825,0.00001,0.00939,999,0.0001,999,0.0001,0.3029,999,0.7695,YES,YES
Locus_15548_,0.00694,0.00001,0.00692,0,0.28255,0,0.00345,0.1489,0.0001,0.2989,999,0.2859,999,0.9166,YES,YES
Locus_15733_,0,0,0.00699,0,0.46637,0,0.02803,999,39.0098,1.1592,999,0.3366,438.5177,0.2169,YES,YES
Locus_15792_,0.0074,0,0.01528,0.00716,0.12122,0.0043,0.04379,0.0001,0.501,0.0001,0.3078,0.13,0.5161,0.0001,YES,YES
Locus_1601_,0.00001,0.00001,0.00001,0.00001,0.32491,#N/A,#N/A,999,0.0001,0.0001,0.0001,0.0001,#N/A,#N/A,NO,NO
Locus_1604_,0,0.0011,0.0165,0.01664,0.15405,#N/A,#N/A,1.171,0.0001,0.41,0.4267,0.1606,#N/A,#N/A,NO,NO
Locus_16052_,0,0,0,0,0.44206,#N/A,#N/A,0.782,0.9514,0.9795,0.8725,0.049,#N/A,#N/A,NO,NO
Locus_1620_,0.00513,0,0.00512,0.00255,0.30033,0.00632,0.00657,0.175,999,0.1557,0.9408,0.0393,0.0001,0.2585,YES,YES
Locus_16316_,0.00001,0.00001,0.00001,0.00001,86.68201,#N/A,#N/A,0.0001,0.0001,0.0001,0.0001,0.0186,#N/A,#N/A,NO,NO
Locus_1638_,0.00001,0.0029,0,0.00584,0.26759,0.0117,0,0.0001,0.2711,999,0.5405,0.5192,0.1106,999,YES,YES
Locus_1657_,0.00003,0,0.05495,0,0.00014,#N/A,#N/A,999,59.4605,0.1367,51.0168,999,#N/A,#N/A,NO,NO
Locus_16886_,0,0,0,0,0.4696,#N/A,#N/A,1.3818,1.3199,1.5069,1.4547,0.3409,#N/A,#N/A,NO,NO
Locus_1698_,0.00341,0.00652,0.00283,0.00282,0.23654,#N/A,#N/A,0.0001,0.0001,1.0391,0.6942,0.0544,#N/A,#N/A,NO,NO
Locus_1712_,0.00001,0.00845,0,0.01728,0.34374,0.07174,0.10194,0.0001,0.0001,999,0.1374,0.0873,0.1161,0.1944,YES,YES
Locus_1718_,0.01233,0.00001,0,0.01233,0.57847,0.02936,0.0674,0.2827,0.0001,999,0.0001,0.3648,0.0594,0.0256,YES,YES
Locus_17296_,0.0049,0,0.00986,0,0.20033,0.00478,0.01001,0.0001,2.9871,0.1805,0.0001,0.4611,1.1153,0.0001,YES,YES
Locus_1734_,0.00001,0.01125,0.01133,0.01119,0.41375,#N/A,#N/A,0.0001,0.0001,0.3381,0.3405,0.3817,#N/A,#N/A,NO,NO
Locus_174_,0.00001,0.00305,0.0029,0.01183,0.23147,#N/A,0.00885,0.0001,0.0001,0.6569,0.2422,0.2212,#N/A,0.2151,NO,YES
Locus_1773_,0.00001,0.00001,0.00549,0.00547,0.12754,#N/A,#N/A,0.0001,0.0001,0.5702,0.8615,0.3219,#N/A,#N/A,NO,NO
Locus_17755_,0,0,0,0.00553,0.2172,0.01455,0.04797,999,999,999,0.5545,0.3129,0.3408,0.3476,YES,YES
Locus_178_,0,0,0.01099,0.00404,0.35675,0.00416,0.00797,0.5247,0.4541,0.2614,0.0001,0.1132,0.2957,0.4783,YES,YES
Locus_18394_,0.00001,0.00001,0.00002,0.00001,31.40828,#N/A,#N/A,0.0001,0.0001,999,0.0001,0.0735,#N/A,#N/A,NO,NO
Locus_18454_,0,0.00361,0.03689,2.54359,52.15628,#N/A,#N/A,999,999,0.0001,0.1248,0.0354,#N/A,#N/A,NO,NO
Locus_1873_,0.00001,0.00306,0.00307,0,0.14198,#N/A,0,0.0001,0.9286,0.0001,999,0.2741,#N/A,999,NO,YES
Locus_1875_,0.00527,0,0.01062,0.01605,0.20437,#N/A,#N/A,0.3315,0.3892,0.6585,0.5438,0.1306,#N/A,#N/A,NO,NO
Locus_189_,0.00001,0.00001,0.00001,0.00001,71.19336,#N/A,0.03056,0.0001,0.0001,0.0001,0.0001,0.0109,#N/A,0.5305,NO,YES
Locus_19047_,0,0.00211,0,0.00211,0.15518,0.00244,0.0018,4.4269,0.0001,0.4517,0.0001,0.2573,0.0001,0.4862,YES,YES
Locus_19090_,0.02595,0,0.01024,0.01283,0.18508,#N/A,#N/A,0.153,445.2014,0.3917,0.9368,0.2274,#N/A,#N/A,NO,NO
Locus_1936_,0.00869,0.00869,0.00001,0,0.21389,#N/A,#N/A,0.0001,0.0001,999,0.0001,0.0315,#N/A,#N/A,NO,NO
Locus_19460_,0,0,0,0,0.93217,#N/A,#N/A,0.4493,0.3887,0.3893,0.4486,0.75,#N/A,#N/A,NO,NO
Locus_2005_,0.00001,0.00001,0.00216,0.00439,0.16537,0,0.01763,0.0001,0.0001,0.3225,0.1588,0.0768,999,0.1189,YES,YES
Locus_2014_,0,0.00599,0.006,0.00301,0.36953,#N/A,#N/A,999,0.2933,0.157,0.9102,0.144,#N/A,#N/A,NO,NO
Locus_20150_,0.01131,0,0.01129,0,0.2582,0.01224,0.01041,0.0001,0.0001,0.0001,0.0001,0.0159,0.0001,0.0001,YES,YES
Locus_206_,0.01653,0.00001,0.02205,0.00001,0.32039,0,0.00546,0.0001,0.0001,0.073,0.0001,0.1066,999,0.5931,YES,YES
Locus_2063_,0,0.01734,0,0,0.18661,0.00001,0.01734,0.0001,0.1818,20.0213,999,0.2123,999,0.0001,YES,YES
Locus_2068_,0.00306,0.00205,0.0041,0,0.16131,0.00913,0.00735,0.1769,0.8636,0.2732,999,0.4693,0.2462,0.5234,YES,YES
Locus_2074_,0,0.0077,0,0.00771,0.3162,0.01722,0.0163,999,0.0001,999,0.2661,0.0917,0.0775,0.1278,YES,YES
Locus_21705_,0.00267,0,0.00538,0.00805,0.17962,0.00803,0,0.0001,28.7674,0.1598,0.3204,0.2649,0.0001,999,YES,YES
Locus_2178_,0.00876,0.00294,0.00841,0.00628,0.28181,0.00851,0.0187,0.1129,0.7636,0.0001,0.5148,0.271,0.1278,0.1196,YES,YES
Locus_21798_,0,0,0,0.00297,0.15575,#N/A,0.01193,0.0001,999,999,0.3803,0.1734,#N/A,0.285,NO,YES
Locus_2212_,0.00001,0.00001,0.0034,0.00745,0.16177,#N/A,#N/A,0.0001,0.0001,0.3001,0.2758,0.0702,#N/A,#N/A,NO,NO
Locus_22378_,0.00001,0,0.00001,0.02085,62.89087,0.00516,#N/A,0.0001,1.7115,0.0001,0.0001,0.0179,0.9692,#N/A,YES,NO
Locus_2280_,0.00001,0.00139,0.00556,0.0056,0.13898,#N/A,#N/A,0.0001,0.3009,0.0001,0.1495,0.2569,#N/A,#N/A,NO,NO
Locus_2289_,0.00312,0.00854,0,0.00283,0.22788,#N/A,0.00284,0.0001,0.1263,0.0001,0.7595,0.145,#N/A,0.7596,NO,YES
Locus_2290_,0.01545,0.00515,0.0234,0,0.21356,0.02862,0.02283,0.0983,0.1474,0.1912,999,0.1416,0.1883,0.5603,YES,YES
Locus_2300_,0,0.01204,0,0,0.17732,0.01202,0,0.0001,0.0001,999,999,0.1608,0.2217,999,YES,YES
Locus_2327_,0.00001,0.0237,0.02353,0.02945,1.74927,0,0.05465,0.0001,0.0001,0.098,0.078,0.0371,999,0.1112,YES,YES
Locus_2414_,0.00847,0.00561,0.00297,0.00295,0.18681,#N/A,#N/A,0.0001,1.3512,0.634,0.6431,0.3243,#N/A,#N/A,NO,NO
Locus_2417_,0.00001,0.00001,0.00001,0.00001,0.26325,#N/A,#N/A,0.0001,0.0001,0.0001,0.0001,0.2942,#N/A,#N/A,NO,NO
Locus_24285_,0,0,0.00169,0,0.1786,0,0.00338,999,999,1.4381,999,0.3048,999,1.4516,YES,YES
Locus_24502_,0,0.00545,0,0.00542,0.12753,0.00001,0.03323,999,0.2623,999,1.6317,0.4124,999,0.3105,YES,YES
Locus_24592_,0,0,0,0,0.12286,#N/A,#N/A,6.8576,4.9564,5.5022,6.6347,0.3139,#N/A,#N/A,NO,NO
Locus_24668_,0.00001,0,0.00001,0,10.63841,#N/A,#N/A,0.0001,58.391,999,999,0.1146,#N/A,#N/A,NO,NO
Locus_24736_,0,0,0,0,57.49492,#N/A,#N/A,9.3417,11.4466,14.0381,12.5337,0.0206,#N/A,#N/A,NO,NO
Locus_2474_,0,0,0,0,52.31785,0.00002,#N/A,0.0001,0.0001,0.0001,0.0001,0.0215,999,#N/A,YES,NO
Locus_248_,0.00001,0.00001,0.00001,0,93.45725,#N/A,#N/A,0.0001,0.0001,999,293.4601,0.0055,#N/A,#N/A,NO,NO
Locus_24862_,0.00852,0.0045,0.00855,0.00888,0.19657,#N/A,0.00435,0.1646,0.3116,0.1643,0.0001,0.2899,#N/A,0.9711,NO,YES
Locus_2496_,0,0,0,0,0.12232,0.00001,#N/A,999,460.612,999,674.0864,0.6819,999,#N/A,YES,NO
Locus_25314_,0.00001,0.00001,0,0.01887,0.21105,#N/A,0.02666,0.0001,0.0001,999,0.0623,0.0619,#N/A,0.1762,NO,YES
Locus_2561_,0.00806,0.00001,0.00827,0.0119,0.27765,0.02045,0.02113,0.1422,0.0001,0.1395,0.0001,0.0001,0.0001,0.0544,YES,YES
Locus_2579_,0,0,0,0,0.32695,0.00169,0.01583,1.3652,1.2892,1.2657,1.2792,0.2857,0.0001,0.1263,YES,YES
Locus_2595_,0,0.01295,0.00314,0.01936,0.59981,0.07896,0.0168,999,0.0001,0.6425,0.0517,0.0186,0.0001,0.2398,YES,YES
Locus_2597_,0.00001,0.00001,0.00001,0.0061,0.27006,#N/A,#N/A,0.0001,0.0001,0.0001,0.5562,0.0909,#N/A,#N/A,NO,NO
Locus_2617_,0.00001,0.00001,0.01081,0.0216,0.18305,#N/A,#N/A,0.0001,0.0001,0.3268,0.0001,0.1776,#N/A,#N/A,NO,NO
Locus_2618_,0.0341,0,0.0343,0.01678,1.75785,0,#N/A,0.0001,23.6768,0.1421,0.0001,0.5128,999,#N/A,YES,NO
Locus_2637_,0.00001,0.00146,0.00001,0.00293,0.22564,0.00313,0.00127,0.0001,0.9086,0.0001,0.7579,0.2495,0.4162,2.4657,YES,YES
Locus_2687_,0.00189,0.00331,0.00211,0.00888,0.17568,#N/A,0.00824,0.5027,0.5698,0.4262,0.8576,0.3357,#N/A,1.7335,NO,YES
Locus_2701_,0,0,0,0,0.72741,0,#N/A,3.1201,3.8829,3.2669,3.7667,0.5545,3.6294,#N/A,YES,NO
Locus_2716_,0.00001,0,0.00332,0.00331,0.17565,#N/A,#N/A,0.0001,999,0.5817,0.2929,0.1779,#N/A,#N/A,NO,NO
Locus_27239_,0,0,0,0,0.21981,0.02211,0,999,518.866,7.5777,999,0.425,0.0001,999,YES,YES
Locus_2752_,0.0067,0,0.00447,0.00675,0.23298,0.00913,0.00661,0.0001,999,0.1294,0.535,0.1285,0.2392,0.3207,YES,YES
Locus_2902_,0.00681,0,0.01374,0.0068,56.52517,0.00681,0.00002,1.1168,0.0001,0.5553,0.0001,0.0256,0.0001,999,YES,YES
Locus_2904_,0.00001,0.00395,0.00001,0.01193,0.18834,0,0.00793,0.0001,0.0001,0.0001,0.0551,0.0915,1.8431,0.0829,YES,YES
Locus_2925_,0.00324,0.00313,0.01279,0.00966,0.19142,0.00638,0.00977,0.0001,0.6778,0.9267,0.7779,0.4647,0.0001,0.5479,YES,YES
Locus_29304_,0.00001,0.00686,0,0.0069,0.24108,0.0167,0.01823,0.0001,0.0001,0.4307,0.2754,0.0478,0.0001,0.1042,YES,YES
Locus_2952_,0.00222,0,0.00448,0.00443,0.19693,0.00406,0.00275,0.3279,999,0.6584,0.3347,0.2013,0.0001,0.5366,YES,YES
Locus_309_,0.00001,0,0.00001,0.01242,0.15291,#N/A,0.02419,72.0507,999,73.4616,0.4213,0.3387,#N/A,0.333,NO,YES
Locus_3105_,0.00001,0.00747,0.00372,0.00372,0.1707,#N/A,#N/A,0.0001,0.1618,0.0001,0.9739,0.2696,#N/A,#N/A,NO,NO
Locus_3130_,0,0.00693,0.0022,0.00218,0.17969,#N/A,0.0044,0.0001,0.0001,0.0001,0.708,0.0346,#N/A,0.5279,NO,YES
Locus_3169_,0.00001,0.00001,0.00001,0.18573,0.99564,#N/A,#N/A,0.0001,0.0001,0.0001,0.0001,0.1642,#N/A,#N/A,NO,NO
Locus_3170_,0.00572,0.00261,0.00585,0.00181,0.31194,0.00611,0.01298,0.3171,0.3445,0.3635,1.9357,0.3537,0.7498,0.3732,YES,YES
Locus_3171_,0.00636,0.01603,0.00959,0,0.53992,#N/A,0.00636,0.0001,0.0001,0.1733,999,0.31,#N/A,0.2615,NO,YES
Locus_3231_,0.00001,0.00733,0,0.01103,0.21722,0.00173,0.00296,0.0001,0.0796,999,0.2656,0.2539,0.0001,0.6801,YES,YES
Locus_3286_,0.0041,0.00413,0,0.00546,0.19407,0.00633,0.01034,0.4582,0.36,999,0.4273,0.4789,0.3085,0.672,YES,YES
Locus_329_,0.00261,0.00782,0,0.00789,0.19865,0.0018,0.00843,0.8529,0.3662,999,0.3627,0.2032,0.0001,0.9795,YES,YES
Locus_34156_,0.00001,0,0.03533,0.00001,0.19768,#N/A,#N/A,0.0001,999,0.2693,999,0.1451,#N/A,#N/A,NO,NO
Locus_34234_,0.00001,0,0.00001,0.0028,0.33789,0,#N/A,0.0001,999,0.0001,0.0001,0.2658,999,#N/A,YES,NO
Locus_3428_,0.0013,0,0,0.00131,0.15622,0.00374,0.00411,0.0001,999,999,3.1043,0.2977,0.4933,0.4381,YES,YES
Locus_3449_,0.00712,0.00698,0,0.01447,0.29424,#N/A,#N/A,0.0001,0.0001,999,0.1859,0.243,#N/A,#N/A,NO,NO
Locus_3513_,0.00001,0.00001,0.00001,0.00001,46.19522,0.04246,0.00001,0.0001,0.0001,0.0001,0.0001,0.2167,0.0001,999,YES,YES
Locus_352_,0,0.00001,0,0,0.01713,#N/A,#N/A,17.949,0.0001,17.9565,2.0891,3.384,#N/A,#N/A,NO,NO
Locus_3573_,0.00001,0,0.00315,0,0.25573,#N/A,#N/A,0.0001,15.9092,0.293,999,0.2526,#N/A,#N/A,NO,NO
Locus_3638_,0,0.00759,0.00001,0.01372,0.19574,0.00642,0.01183,999,0.484,999,0.399,0.2058,0.2028,0.422,YES,YES
Locus_3648_,0.00001,0.00001,0,0.00001,0.45969,#N/A,#N/A,0.0001,0.0001,7.4948,0.0001,0.437,#N/A,#N/A,NO,NO
Locus_3664_,0.00001,0.00001,0.00001,0.00001,0.22752,#N/A,#N/A,0.0001,0.0001,0.0001,0.0001,0.4144,#N/A,#N/A,NO,NO
Locus_3699_,0.00001,0,0.00612,0.00001,0.12481,#N/A,#N/A,999,999,0.2984,999,0.3064,#N/A,#N/A,NO,NO
Locus_3746_,0.01164,0.01169,0.00001,0.00001,0.58957,#N/A,#N/A,0.5342,0.8002,0.0001,0.0001,0.4583,#N/A,#N/A,NO,NO
Locus_376_,0.00743,0,0.00746,0.00001,0.18875,0,0.02264,0.0001,999,0.0001,0.0001,0.1798,999,0.1802,YES,YES
Locus_3780_,0.00001,0.00001,0.00178,0,0.25321,#N/A,#N/A,0.0001,0.0001,0.0001,999,0.4239,#N/A,#N/A,NO,NO
Locus_3784_,0,0.00829,0,0.01945,0.24738,0.00076,0.01032,531.5241,0.4756,999,0.1638,0.3097,1.0591,0.3076,YES,YES
Locus_3786_,0.00001,0,0.00001,0,0.05554,#N/A,#N/A,0.0001,10.4111,0.0001,7.505,0.0001,#N/A,#N/A,NO,NO
