locus , samp_sizetot , SynSitestot , theta_syntot , S_Syntot ,  S_Syn_freq> , D_Syntot  , pi_Syntot  , pi_JC_Syntot  , Dxy_Syntot  , Dxy_JC_Syntot , SynSites_4-foldtot  , D_4-foldtot , D_JC_4-foldtot , TajD_Syntot  , Fu&LiD_Syntot ,, RepSitestot  , theta_reptot , S_Reptot  , S_Rep_freq> , D_Reptot  , pi_Reptot  , pi_JC_Reptot  , Dxy_Reptot  , Dxy_JC_Reptot  , TajD_Reptot  , Fu&LiD_Reptot , locus , samp_sizetot_NMX , SynSitestot_NMX , theta_syntot_NMX , S_Syntot_NMX ,  S_Syn_freq_NMX> , D_Syntot_NMX  , pi_Syntot_NMX  , pi_JC_Syntot_NMX  , Dxy_Syntot_NMX  , Dxy_JC_Syntot_NMX , SynSites_4-foldtot_NMX  , D_4-foldtot_NMX , D_JC_4-foldtot_NMX , TajD_Syntot_NMX  , Fu&LiD_Syntot_NMX ,, RepSitestot_NMX  , theta_reptot_NMX , S_Reptot_NMX  , S_Rep_freq_NMX> , D_Reptot_NMX  , pi_Reptot_NMX  , pi_JC_Reptot_NMX  , Dxy_Reptot_NMX  , Dxy_JC_Reptot_NMX  , TajD_Reptot_NMX  , Fu&LiD_Reptot_NMX , samp_sizetot_NMY , SynSitestot_NMY , theta_syntot_NMY , S_Syntot_NMY ,  S_Syn_freq_NMY> , D_Syntot_NMY  , pi_Syntot_NMY  , pi_JC_Syntot_NMY  , Dxy_Syntot_NMY  , Dxy_JC_Syntot_NMY , SynSites_4-foldtot_NMY  , D_4-foldtot_NMY , D_JC_4-foldtot_NMY , TajD_Syntot_NMY  , Fu&LiD_Syntot_NMY ,, RepSitestot_NMY  , theta_reptot_NMY , S_Reptot_NMY  , S_Rep_freq_NMY> , D_Reptot_NMY  , pi_Reptot_NMY  , pi_JC_Reptot_NMY  , Dxy_Reptot_NMY  , Dxy_JC_Reptot_NMY  , TajD_Reptot_NMY  , Fu&LiD_Reptot_NMY samp_sizetot_TMX , SynSitestot_TMX , theta_syntot_TMX , S_Syntot_TMX ,  S_Syn_freq_TMX> , D_Syntot_TMX  , pi_Syntot_TMX  , pi_JC_Syntot_TMX  , Dxy_Syntot_TMX  , Dxy_JC_Syntot_TMX , SynSites_4-foldtot_TMX  , D_4-foldtot_TMX , D_JC_4-foldtot_TMX , TajD_Syntot_TMX  , Fu&LiD_Syntot_TMX ,, RepSitestot_TMX  , theta_reptot_TMX , S_Reptot_TMX  , S_Rep_freq_TMX> , D_Reptot_TMX  , pi_Reptot_TMX  , pi_JC_Reptot_TMX  , Dxy_Reptot_TMX  , Dxy_JC_Reptot_TMX  , TajD_Reptot_TMX  , Fu&LiD_Reptot_TMX samp_sizetot_TMY , SynSitestot_TMY , theta_syntot_TMY , S_Syntot_TMY ,  S_Syn_freq_TMY> , D_Syntot_TMY  , pi_Syntot_TMY  , pi_JC_Syntot_TMY  , Dxy_Syntot_TMY  , Dxy_JC_Syntot_TMY , SynSites_4-foldtot_TMY  , D_4-foldtot_TMY , D_JC_4-foldtot_TMY , TajD_Syntot_TMY  , Fu&LiD_Syntot_TMY ,, RepSitestot_TMY  , theta_reptot_TMY , S_Reptot_TMY  , S_Rep_freq_TMY> , D_Reptot_TMY  , pi_Reptot_TMY  , pi_JC_Reptot_TMY  , Dxy_Reptot_TMY  , Dxy_JC_Reptot_TMY  , TajD_Reptot_TMY  , Fu&LiD_Reptot_TMY 
Locus_10451_Transcri,24,35.70666667,0,0,,0,0,0,0,0,19.92,0,0,,,,144.2933333,0.003711723,2,,0,0.004695548,0.004710308,0.004331454,0.00434401,0.58286453,Locus_10451_Transcri,6,35.92857143,0,0,,0,0,0,0,0,20,0,0,,,,144.0714286,0,0,,1,0,0,0.006941001,0.006973319,,Locus_10451_Transcri,6,35.5,0,0,,0,0,0,0,0,20,0,0,,,,144.5,0,0,,0,0,0,0,0,,Locus_10451_Transcri,6,35.73809524,0,0,,0,0,0,0,0,19.71428571,0,0,,,,144.2619048,0.003035841,1,,1,0.00369698,0.003706122,0.009242449,0.00929987,0.850567552,Locus_10451_Transcri,6,35.5,0,0,,0,0,0,0,0,20,0,0,,,,144.5,0,0,,0,0,0,0,0,
Locus_1052_Transcrip,24,131.2333333,0.006121655,3,,0,0.003064571,0.00307085,0.001587503,0.001589186,88.94666667,0,0,-1.256091107,,,450.7666667,0.004752586,8,,0,0.004067145,0.004078213,0.003327664,0.003335068,-0.462729937,Locus_1052_Transcrip,6,131.5952381,0.003328055,1,,0,0.004052832,0.004063821,0.00253302,0.002537307,89.47619048,0,0,0.850567552,,,450.4047619,0.001944723,2,,2,0.00236824,0.002371987,0.005920601,0.005944093,1.031937488,Locus_1052_Transcrip,6,130.8333333,0,0,,0,0,0,0,0,88.33333333,0,0,,,,451.1666667,0,0,,0,0,0,0,0,,Locus_1052_Transcrip,6,131.4047619,0.006665759,2,,0,0.006595398,0.006624568,0.003805037,0.003814722,89.23809524,0,0,-0.050017378,,,450.5952381,0.003887801,4,,2,0.003550859,0.003559291,0.00665786,0.006687587,-0.469825147,Locus_1052_Transcrip,6,130.8333333,0,0,,0,0,0,0,0,88.33333333,0,0,,,,451.1666667,0,0,,0,0,0,0,0,
Locus_10675_Transcri,24,103.16,0.012979276,5,,0,0.00814831,0.008192897,0.01454052,0.014683319,66.33333333,0,0,-1.078623791,,,352.84,0.003035806,4,,0,0.005873664,0.005896785,0.006140649,0.006165926,2.556558181,Locus_10675_Transcri,6,103.047619,0.004250037,1,,1,0.00323475,0.003241746,0.011321627,0.011407949,66.33333333,0,0,-0.933020529,,,352.952381,0,0,,4,0,0,0.011332974,0.01141947,,Locus_10675_Transcri,6,103.3333333,0.008476572,2,,0,0.010322581,0.010394276,0.012903226,0.013015511,66.33333333,0,0,1.031937488,,,352.6666667,0,0,,0,0,0,0,0,,Locus_10675_Transcri,6,103.047619,0.008500074,2,,1,0.006469501,0.006497565,0.012939002,0.013051914,66.33333333,0,0,-1.131972245,,,352.952381,0,0,,4,0,0,0.011332974,0.01141947,,Locus_10675_Transcri,6,103.3333333,0,0,,2,0,0,0.019354839,0.01960896,66.33333333,0.015075377,0.01522895,,,,352.6666667,0,0,,0,0,0,0,0,
Locus_10691_Transcri,24,223.4933333,0.015576524,13,,0,0.024203945,0.02460311,0.031880146,0.032577542,159.6933333,0,0,1.921505001,,,724.5066667,0.002956919,8,,0,0.004790866,0.004806233,0.005866061,0.005889121,1.989917078,Locus_10691_Transcri,6,223.8095238,0,0,,11,0,0,0.049148936,0.050833353,160.1428571,0.037466548,0.038434759,,,,724.1904762,0,0,,6,0,0,0.008285113,0.008331215,,Locus_10691_Transcri,6,222.8571429,0.005895564,3,,0,0.007179487,0.007214071,0.008974359,0.009028484,159,0,0,1.124139096,,,725.1428571,0.001811876,3,,0,0.002206462,0.002209714,0.002758077,0.002763161,1.124139096,Locus_10691_Transcri,6,223.8095238,0.001956826,1,,11,0.002382979,0.002386772,0.05212766,0.05402776,160.1428571,0.037466548,0.038434759,0.850567552,,,724.1904762,0,0,,6,0,0,0.008285113,0.008331215,,Locus_10691_Transcri,6,222.952381,0,0,,2,0,0,0.008970525,0.009024604,159,0.006289308,0.006315827,,,,725.047619,0,0,,2,0,0,0.00275844,0.002763525,
Locus_10717_Transcri,24,222.56,0.038503007,32,,0,0.057173965,0.059470703,0.059908938,0.062437233,150.4533333,0,0,1.836343151,,,764.44,0.010158893,29,,0,0.013598095,0.013722877,0.012808941,0.012919582,1.273413155,Locus_10717_Transcri,6,224.3095238,0.007809855,4,,22,0.005944167,0.005967848,0.101050844,0.108539126,152.7142857,0.091674462,0.097780244,-1.295030853,,,762.6904762,0.000574225,1,,14,0.000437049,0.000437177,0.018574595,0.018808475,-0.933020529,Locus_10717_Transcri,6,219.4761905,0.003990922,2,,0,0.004860056,0.004875872,0.006075071,0.006099809,146,0,0,1.031937488,,,767.5238095,0.001141219,2,,0,0.001389751,0.00139104,0.001737188,0.001739203,1.031937488,Locus_10717_Transcri,6,224.8571429,0.007790835,4,,21,0.008005083,0.00804811,0.100063532,0.107398943,153.7142857,0.097583643,0.104542698,0.149079133,,,762.1428571,0.004597104,8,,15,0.004373633,0.004386435,0.02230553,0.022643947,-0.286578219,Locus_10717_Transcri,6,219.5714286,0.003989191,2,,3,0.003036218,0.00304238,0.015181089,0.015336838,146.3333333,0.020501139,0.02078655,-1.131972245,,,767.4285714,0.00114136,2,,2,0.000868702,0.000869205,0.003040457,0.003046636,-1.131972245
Locus_10727_Transcri,24,730.3,0.009900434,27,,0,0.010076264,0.010144564,0.008386964,0.008434211,472.12,0,0,0.066452836,,,2464.7,0.001955691,18,,0,0.002153597,0.002156695,0.001775064,0.001777168,0.36506157,Locus_10727_Transcri,6,729.8333333,0.003600462,6,,0,0.003379767,0.003387405,0.002055264,0.002058085,471.5714286,0,0,-0.350840548,,,2465.166667,0.000888289,5,,0,0.000919478,0.000920042,0.000540869,0.000541065,0.196505139,Locus_10727_Transcri,6,730.8571429,0.000599236,1,,10,0.000729737,0.000730092,0.01413865,0.014273617,472.7142857,0.010577214,0.010652507,0.850567552,,,2464.142857,0.000710927,4,,7,0.000865751,0.000866251,0.003517112,0.003525385,1.180586266,Locus_10727_Transcri,6,730.0952381,0.006598479,11,,0,0.005843986,0.005866874,0.003652492,0.003661414,471.7619048,0,0,-0.691532967,,,2464.904762,0.000177677,1,,0,0.000216371,0.000216402,0.000135232,0.000135244,0.850567552,Locus_10727_Transcri,6,730.2857143,0,0,,10,0,0,0.013693271,0.013819817,472.2380952,0.010587879,0.010663326,,,,2464.714286,0.00017769,1,,7,0.000135242,0.000135254,0.002907707,0.002913358,-0.933020529
Locus_10734_Transcri,24,77.65333333,0.006897023,2,,0,0.007745312,0.007785582,0.007512019,0.007549893,48.96,0,0,0.270462627,,,267.3466667,0.001001652,1,,1,0.000853801,0.000854287,0.00420802,0.004219869,-0.248438061,Locus_10734_Transcri,6,77.61904762,0.005642381,1,,1,0.004294479,0.004306821,0.015030675,0.015183332,48.85714286,0.020467836,0.020752312,-0.933020529,,,267.3809524,0,0,,1,0,0,0.003739982,0.003749338,,Locus_10734_Transcri,6,77.57142857,0,0,,0,0,0,0,0,48.71428571,0,0,,,,267.4285714,0.001637657,1,,0,0.001246439,0.001247476,0.003116097,0.003122588,-0.933020529,Locus_10734_Transcri,6,77.61904762,0,0,,1,0,0,0.012883436,0.012995375,48.85714286,0.020467836,0.020752312,,,,267.3809524,0.001637948,1,,1,0.002243989,0.002247353,0.005609973,0.00563106,1.445096912,Locus_10734_Transcri,6,77.61904762,0,0,,0,0,0,0,0,48.85714286,0,0,,,,267.3809524,0,0,,1,0,0,0.003739982,0.003749338,
Locus_10824_Transcri,10,4.333333333,0,0,,0,0,0,0,0,3,0,0,,,,16.66666667,0,0,,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Locus_10824_Transcri,4,4.333333333,0,0,,0,0,0,0,0,3,0,0,,,,16.66666667,0,0,,0,0,0,0,0,,Locus_10824_Transcri,4,4.333333333,0,0,,0,0,0,0,0,3,0,0,,,,16.66666667,0,0,,0,0,0,0,0,
Locus_10831_Transcri,22,694.2246377,0.00948355,24,,0,0.006971557,0.007004161,0.006416576,0.006444182,434.3623188,0,0,-1.000291247,,,2395.775362,0.005610605,49,,0,0.004452282,0.004465549,0.004325796,0.00433832,-0.813938922,Locus_10831_Transcri,6,694.4047619,0.002522772,4,,5,0.002208126,0.002211383,0.00840048,0.00844788,435.4761905,0.004592674,0.004606793,-0.676126573,,,2395.595238,0.001279721,7,,11,0.001474929,0.001476381,0.005496198,0.005516436,0.887764764,Locus_10831_Transcri,6,694.1190476,0.001261905,2,,0,0.001248585,0.001249626,0.001200563,0.001201524,433.3333333,0,0,-0.050017378,,,2395.880952,0.000913977,5,,0,0.001113021,0.001113848,0.001391277,0.001392569,1.218829342,Locus_10831_Transcri,5,693.4722222,0.008306028,12,,4,0.007786902,0.007827608,0.010670939,0.01074758,434.0555556,0.002303853,0.002307398,-0.452019538,,,2396.527778,0.005407824,27,,11,0.004756882,0.004772031,0.00717705,0.007211611,-0.89770348,Locus_10831_Transcri,5,694.4166667,0.004838594,7,,2,0.004032161,0.004043039,0.004896196,0.004912248,433.5,0.002306805,0.00231036,-1.161720059,,,2395.583333,0.001402581,7,,5,0.001168818,0.001169729,0.002671583,0.002676353,-1.161720059
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Locus_111_Transcript,24,241.3066667,0.011097431,10,,0,0.012987863,0.013101635,0.010878274,0.010957936,158.9333333,0,0,0.568347388,,,847.6933333,0.005686244,18,,0,0.007266095,0.007301521,0.007667867,0.007707334,1.002299021,Locus_111_Transcript,6,241.2857143,0.005445281,3,,3,0.00580225,0.00582481,0.017268601,0.017470509,159.047619,0.01257485,0.012681462,0.338388809,,,847.7142857,0.001033264,2,,8,0.001022357,0.001023054,0.010026963,0.010094593,-0.050017378,Locus_111_Transcript,6,241.3809524,0.001814378,1,,0,0.002209509,0.00221277,0.002761886,0.002766984,158.7619048,0,0,0.850567552,,,847.6190476,0.00206676,4,,0,0.002516854,0.002521086,0.003146067,0.003152684,1.180586266,Locus_111_Transcript,6,241.4761905,0.005440986,3,,3,0.006349832,0.006376865,0.017254979,0.017456567,159.3333333,0.012552301,0.012658528,0.862222334,,,847.5238095,0.001550244,3,,7,0.001179908,0.001180837,0.008849309,0.00890193,-1.233111763,Locus_111_Transcript,6,241.2857143,0,0,,1,0,0,0.004144464,0.004155958,158.7619048,0.00629874,0.006325339,,,,847.7142857,0.000516632,1,,3,0.000629143,0.000629407,0.004325357,0.004337877,0.850567552
Locus_11238_Transcri,24,66.7,0.008029638,2,,0,0.015590031,0.015754345,0.015617191,0.015782082,38.56,0,0,2.07049264,,,263.3,0.005085234,5,,0,0.009852651,0.009917939,0.010127864,0.010196869,2.716806704,Locus_11238_Transcri,6,67.26190476,0,0,,2,0,0,0.029734513,0.030339998,39.57142857,0.025270758,0.025706311,,,,262.7380952,0,0,,4,0,0,0.015224286,0.015380929,,Locus_11238_Transcri,6,65.83333333,0,0,,0,0,0,0,0,37,0,0,,,,264.1666667,0,0,,0,0,0,0,0,,Locus_11238_Transcri,6,67.26190476,0,0,,2,0,0,0.029734513,0.030339998,39.57142857,0.025270758,0.025706311,,,,262.7380952,0,0,,4,0,0,0.015224286,0.015380929,,Locus_11238_Transcri,6,65.83333333,0,0,,0,0,0,0,0,37,0,0,,,,264.1666667,0,0,,0,0,0,0,0,
